0F-InvertedOnlyMD5|0-InvertedOnlyPids|11-System_FileName|13F-System_Size|14F-System_FileAttributes|15F-System_DateModified|16F-System_DateCreated|17F-System_DateAccessed|33-System_ItemUrl|3-System_ItemFolderNameDisplay|4165-System_ComputerName|4334-System_ContentType|4346-System_DateImported|4352-System_Document_DateCreated|4354-System_Document_DateSaved|4373-System_FileExtension|4377-System_FileOwner|4378-System_FilePlaceholderStatus|4410-System_IsAttachment|4412-System_IsEncrypted|4415-System_IsFolder|4419-System_ItemDate|4421-System_ItemFolderPathDisplay|4422-System_ItemFolderPathDisplayNarrow|4423-System_ItemName|4424-System_ItemNameDisplay|4425-System_ItemNameDisplayWithoutExtension|4428-System_ItemPathDisplay|4429-System_ItemPathDisplayNarrow|4431-System_ItemType|4453-System_MIMEType|4540-System_NotUserContent|4546-System_ParsingName|4604-System_SFGAOFlags|4605-System_Search_AccessCount|4606-System_Search_AutoSummary|4612F-System_Search_GatherTime|4614-System_Search_LastIndexedTotalTime|4618-System_Search_Store|4655-System_ThumbnailCacheId|4679-System_VolumeId|5-System_ItemTypeText|WorkID
"86227E1B0C9AA4A822FB74346C74B442"|"140015124E12"|"ayu-highlight.css"|"871"|"32"|"25/03/2018 15:45:34.0000000"|"11/04/2018 16:12:48.2586297"|"11/04/2018 16:12:48.2586297"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/ayu-highlight.css"|"first-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:34.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition"|"first-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"ayu-highlight.css"|"ayu-highlight.css"|"ayu-highlight"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\ayu-highlight.css"|"ayu-highlight (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition)"|".css"|"text/css"|"False"|"ayu-highlight.css"|"1077936503"|"0"|"/* Based off of the Ayu theme Original by Dempfi (https://github.com/dempfi/ayu) */  .hljs {   display: block;   overflow-x: auto;   background: #191f26;   color: #e6e1cf;   padding: 0.5em; }  .hljs-comment, .hljs-quote, .hljs-meta {   color: #5c6773;   font-style: italic; }  .hljs-variable, .hljs-template-variable, .hljs-attribute, .hljs-attr, .hljs-regexp, .hljs-link, .hljs-selector-id, .hljs-selector-class {   color: #ff7733; }  .hljs-number, .hljs-builtin-name, .hljs-literal, .hljs-type, .hljs-params {   color: #ffee99; }  .hljs-string, .hljs-bullet {   color: #b8cc52; }  .hljs-title, .hljs-built_in, .hljs-section {   color: #ffb454; }  .hljs-keyword, .hljs-selector-tag, .hljs-symbol {   color: #ff7733; }  .hljs-name {     color: #36a3d9; }  .hljs-tag {     color: #00568d; }  .hljs-emphasis {   font-style: italic; }  .hljs-strong {   font-weight: bold; } "|"11/04/2018 16:16:04.8993429"|"0"|"file"|"173902424D6E1159"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9876"
"3421058B49EE050265EE5C5AB0C11C9D"|"140015124E12"|"book.css"|"23660"|"32"|"25/03/2018 15:45:34.0000000"|"11/04/2018 16:12:48.2743199"|"11/04/2018 16:12:48.2743199"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/book.css"|"first-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:34.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition"|"first-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"book.css"|"book.css"|"book"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\book.css"|"book (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition)"|".css"|"text/css"|"False"|"book.css"|"1077936503"|"0"|"html {   font-family: ""Open Sans"", sans-serif;   color: #333; } body {   margin: 0;   font-size: 1rem;   overflow-x: hidden; } code {   font-family: ""Source Code Pro"", Consolas, ""Ubuntu Mono"", Menlo, ""DejaVu Sans Mono"", monospace, monospace;   font-size: 0.875em; } .left {   float: left; } .right {   float: right; } .hidden {   display: none; } .play-button.hidden {   display: none; } h2, h3 {   margin-top: 2.5em; } h4, h5 {   margin-top: 2em; } .header + .header h3, .header + .header h4, .header + .header h5 {   margin-top: 1em; } table {   margin: 0 auto;   border-collapse: collapse; } table td {   padding: 3px 20px;   border: 1px solid; } table thead td {   font-weight: 700; } .sidebar {   position: fixed;   left: 0;   top: 0;   bottom: 0;   width: 300px;   overflow-y: auto;   padding: 10px 10px;   font-size: 0.875em;   -webkit-box-sizing: border-box;   -moz-box-sizing: border-box;   box-sizing: border-box;   -webkit-overflow-scrolling: touch;   -webkit-transition: -webkit-transform 0.5s;   -moz-transition"|"11/04/2018 16:16:04.8525015"|"0,03125"|"file"|"C36CF4E47FA562D7"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9878"
"95BF41F0638C9729E2C58C47CF310165"|"140015124E12"|"highlight.css"|"1092"|"32"|"25/03/2018 15:45:34.0000000"|"11/04/2018 16:12:48.4149230"|"11/04/2018 16:12:48.4149230"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/highlight.css"|"first-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:34.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition"|"first-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"highlight.css"|"highlight.css"|"highlight"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\highlight.css"|"highlight (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition)"|".css"|"text/css"|"False"|"highlight.css"|"1077936503"|"0"|"/* Base16 Atelier Dune Light - Theme */ /* by Bram de Haan (http://atelierbram.github.io/syntax-highlighting/atelier-schemes/dune) */ /* Original Base16 color scheme by Chris Kempson (https://github.com/chriskempson/base16) */  /* Atelier-Dune Comment */ .hljs-comment, .hljs-quote {   color: #AAA; }  /* Atelier-Dune Red */ .hljs-variable, .hljs-template-variable, .hljs-attribute, .hljs-tag, .hljs-name, .hljs-regexp, .hljs-link, .hljs-name, .hljs-selector-id, .hljs-selector-class {   color: #d73737; }  /* Atelier-Dune Orange */ .hljs-number, .hljs-meta, .hljs-built_in, .hljs-builtin-name, .hljs-literal, .hljs-type, .hljs-params {   color: #b65611; }  /* Atelier-Dune Green */ .hljs-string, .hljs-symbol, .hljs-bullet {   color: #60ac39; }  /* Atelier-Dune Blue */ .hljs-title, .hljs-section {   color: #6684e1; }  /* Atelier-Dune Purple */ .hljs-keyword, .hljs-selector-tag {   color: #b854d4; }  .hljs {   display: block;   overflow-x: auto;   background: #f1f1f1;   color: #6e6b5e;   padding: 0.5em; }  .hljs-emphas"|"11/04/2018 16:16:04.2430687"|"0"|"file"|"A5E1624676C7528F"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9903"
"122895637A10DAE06F2B63144AB662CF"|"140015124E12"|"tomorrow-night.css"|"1665"|"32"|"25/03/2018 15:45:34.0000000"|"11/04/2018 16:12:48.6180499"|"11/04/2018 16:12:48.6180499"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/tomorrow-night.css"|"first-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:34.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition"|"first-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"tomorrow-night.css"|"tomorrow-night.css"|"tomorrow-night"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\tomorrow-night.css"|"tomorrow-night (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition)"|".css"|"text/css"|"False"|"tomorrow-night.css"|"1077936503"|"0"|"/* Tomorrow Night Theme */ /* http://jmblog.github.com/color-themes-for-google-code-highlightjs */ /* Original theme - https://github.com/chriskempson/tomorrow-theme */ /* http://jmblog.github.com/color-themes-for-google-code-highlightjs */  /* Tomorrow Comment */ .hljs-comment {   color: #969896; }  /* Tomorrow Red */ .hljs-variable, .hljs-attribute, .hljs-tag, .hljs-regexp, .ruby .hljs-constant, .xml .hljs-tag .hljs-title, .xml .hljs-pi, .xml .hljs-doctype, .html .hljs-doctype, .css .hljs-id, .css .hljs-class, .css .hljs-pseudo {   color: #cc6666; }  /* Tomorrow Orange */ .hljs-number, .hljs-preprocessor, .hljs-pragma, .hljs-built_in, .hljs-literal, .hljs-params, .hljs-constant {   color: #de935f; }  /* Tomorrow Yellow */ .ruby .hljs-class .hljs-title, .css .hljs-rule .hljs-attribute {   color: #f0c674; }  /* Tomorrow Green */ .hljs-string, .hljs-value, .hljs-inheritance, .hljs-header, .hljs-name, .ruby .hljs-symbol, .xml .hljs-cdata {   color: #b5bd68; }  /* Tomorrow Aqua */ .hljs-title, .css .hljs-hexcolo"|"11/04/2018 16:16:03.3212167"|"0,015625"|"file"|"86B89A566A2267A1"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9931"
"4D70915C8BDF4B310D453262FDEC9D3A"|"140015124E12"|"font-awesome.css"|"26711"|"32"|"25/03/2018 15:45:34.0000000"|"11/04/2018 16:12:48.6492894"|"11/04/2018 16:12:48.6492894"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/_FontAwesome/css/font-awesome.css"|"css"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|"25/03/2018 15:45:34.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:34.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\css"|"css (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome)"|"font-awesome.css"|"font-awesome.css"|"font-awesome"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\css\font-awesome.css"|"font-awesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\css)"|".css"|"text/css"|"False"|"font-awesome.css"|"1077936503"|"0"|"/*!  *  Font Awesome 4.4.0 by @davegandy - http://fontawesome.io - @fontawesome  *  License - http://fontawesome.io/license (Font: SIL OFL 1.1, CSS: MIT License)  */@font-face{font-family:'FontAwesome';src:url('../fonts/fontawesome-webfont.eot?v=4.4.0');src:url('../fonts/fontawesome-webfont.eot?#iefix&v=4.4.0') format('embedded-opentype'),url('../fonts/fontawesome-webfont.woff2?v=4.4.0') format('woff2'),url('../fonts/fontawesome-webfont.woff?v=4.4.0') format('woff'),url('../fonts/fontawesome-webfont.ttf?v=4.4.0') format('truetype'),url('../fonts/fontawesome-webfont.svg?v=4.4.0#fontawesomeregular') format('svg');font-weight:normal;font-style:normal}.fa{display:inline-block;font:normal normal normal 14px/1 FontAwesome;font-size:inherit;text-rendering:auto;-webkit-font-smoothing:antialiased;-moz-osx-font-smoothing:grayscale}.fa-lg{font-size:1.33333333em;line-height:.75em;vertical-align:-15%}.fa-2x{font-size:2em}.fa-3x{font-size:3em}.fa-4x{font-size:4em}.fa-5x{font-size:5em}.fa-fw{width:1.28571429em;text-align:ce"|"11/04/2018 16:16:03.1493214"|"0,03125"|"file"|"7AE6A2913240E05E"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9943"
"86227E1B0C9AA4A822FB74346C74B442"|"140015124E12"|"ayu-highlight.css"|"871"|"32"|"25/03/2018 15:45:35.0000000"|"11/04/2018 16:12:48.8993508"|"11/04/2018 16:12:48.8993508"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/ayu-highlight.css"|"second-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:35.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition"|"second-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"ayu-highlight.css"|"ayu-highlight.css"|"ayu-highlight"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\ayu-highlight.css"|"ayu-highlight (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)"|".css"|"text/css"|"False"|"ayu-highlight.css"|"1077936503"|"0"|"/* Based off of the Ayu theme Original by Dempfi (https://github.com/dempfi/ayu) */  .hljs {   display: block;   overflow-x: auto;   background: #191f26;   color: #e6e1cf;   padding: 0.5em; }  .hljs-comment, .hljs-quote, .hljs-meta {   color: #5c6773;   font-style: italic; }  .hljs-variable, .hljs-template-variable, .hljs-attribute, .hljs-attr, .hljs-regexp, .hljs-link, .hljs-selector-id, .hljs-selector-class {   color: #ff7733; }  .hljs-number, .hljs-builtin-name, .hljs-literal, .hljs-type, .hljs-params {   color: #ffee99; }  .hljs-string, .hljs-bullet {   color: #b8cc52; }  .hljs-title, .hljs-built_in, .hljs-section {   color: #ffb454; }  .hljs-keyword, .hljs-selector-tag, .hljs-symbol {   color: #ff7733; }  .hljs-name {     color: #36a3d9; }  .hljs-tag {     color: #00568d; }  .hljs-emphasis {   font-style: italic; }  .hljs-strong {   font-weight: bold; } "|"11/04/2018 16:16:02.6180882"|"0"|"file"|"DB4D07263C7654CF"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9983"
"3421058B49EE050265EE5C5AB0C11C9D"|"140015124E12"|"book.css"|"23660"|"32"|"25/03/2018 15:45:35.0000000"|"11/04/2018 16:12:48.9149092"|"11/04/2018 16:12:48.9149092"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/book.css"|"second-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:35.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition"|"second-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"book.css"|"book.css"|"book"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\book.css"|"book (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)"|".css"|"text/css"|"False"|"book.css"|"1077936503"|"0"|"html {   font-family: ""Open Sans"", sans-serif;   color: #333; } body {   margin: 0;   font-size: 1rem;   overflow-x: hidden; } code {   font-family: ""Source Code Pro"", Consolas, ""Ubuntu Mono"", Menlo, ""DejaVu Sans Mono"", monospace, monospace;   font-size: 0.875em; } .left {   float: left; } .right {   float: right; } .hidden {   display: none; } .play-button.hidden {   display: none; } h2, h3 {   margin-top: 2.5em; } h4, h5 {   margin-top: 2em; } .header + .header h3, .header + .header h4, .header + .header h5 {   margin-top: 1em; } table {   margin: 0 auto;   border-collapse: collapse; } table td {   padding: 3px 20px;   border: 1px solid; } table thead td {   font-weight: 700; } .sidebar {   position: fixed;   left: 0;   top: 0;   bottom: 0;   width: 300px;   overflow-y: auto;   padding: 10px 10px;   font-size: 0.875em;   -webkit-box-sizing: border-box;   -moz-box-sizing: border-box;   box-sizing: border-box;   -webkit-overflow-scrolling: touch;   -webkit-transition: -webkit-transform 0.5s;   -moz-transition"|"11/04/2018 16:16:02.6180882"|"0,046875"|"file"|"8361A288D78F755E"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"9984"
"95BF41F0638C9729E2C58C47CF310165"|"140015124E12"|"highlight.css"|"1092"|"32"|"25/03/2018 15:45:35.0000000"|"11/04/2018 16:12:49.4617491"|"11/04/2018 16:12:49.4617491"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/highlight.css"|"second-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:35.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition"|"second-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"highlight.css"|"highlight.css"|"highlight"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\highlight.css"|"highlight (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)"|".css"|"text/css"|"False"|"highlight.css"|"1077936503"|"0"|"/* Base16 Atelier Dune Light - Theme */ /* by Bram de Haan (http://atelierbram.github.io/syntax-highlighting/atelier-schemes/dune) */ /* Original Base16 color scheme by Chris Kempson (https://github.com/chriskempson/base16) */  /* Atelier-Dune Comment */ .hljs-comment, .hljs-quote {   color: #AAA; }  /* Atelier-Dune Red */ .hljs-variable, .hljs-template-variable, .hljs-attribute, .hljs-tag, .hljs-name, .hljs-regexp, .hljs-link, .hljs-name, .hljs-selector-id, .hljs-selector-class {   color: #d73737; }  /* Atelier-Dune Orange */ .hljs-number, .hljs-meta, .hljs-built_in, .hljs-builtin-name, .hljs-literal, .hljs-type, .hljs-params {   color: #b65611; }  /* Atelier-Dune Green */ .hljs-string, .hljs-symbol, .hljs-bullet {   color: #60ac39; }  /* Atelier-Dune Blue */ .hljs-title, .hljs-section {   color: #6684e1; }  /* Atelier-Dune Purple */ .hljs-keyword, .hljs-selector-tag {   color: #b854d4; }  .hljs {   display: block;   overflow-x: auto;   background: #f1f1f1;   color: #6e6b5e;   padding: 0.5em; }  .hljs-emphas"|"11/04/2018 16:15:59.5867753"|"0"|"file"|"A3D7B89E75F65196"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"10082"
"122895637A10DAE06F2B63144AB662CF"|"140015124E12"|"tomorrow-night.css"|"1665"|"32"|"25/03/2018 15:45:35.0000000"|"11/04/2018 16:12:49.6024192"|"11/04/2018 16:12:49.6024192"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/tomorrow-night.css"|"second-edition"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:35.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition"|"second-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)"|"tomorrow-night.css"|"tomorrow-night.css"|"tomorrow-night"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\tomorrow-night.css"|"tomorrow-night (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)"|".css"|"text/css"|"False"|"tomorrow-night.css"|"1077936503"|"0"|"/* Tomorrow Night Theme */ /* http://jmblog.github.com/color-themes-for-google-code-highlightjs */ /* Original theme - https://github.com/chriskempson/tomorrow-theme */ /* http://jmblog.github.com/color-themes-for-google-code-highlightjs */  /* Tomorrow Comment */ .hljs-comment {   color: #969896; }  /* Tomorrow Red */ .hljs-variable, .hljs-attribute, .hljs-tag, .hljs-regexp, .ruby .hljs-constant, .xml .hljs-tag .hljs-title, .xml .hljs-pi, .xml .hljs-doctype, .html .hljs-doctype, .css .hljs-id, .css .hljs-class, .css .hljs-pseudo {   color: #cc6666; }  /* Tomorrow Orange */ .hljs-number, .hljs-preprocessor, .hljs-pragma, .hljs-built_in, .hljs-literal, .hljs-params, .hljs-constant {   color: #de935f; }  /* Tomorrow Yellow */ .ruby .hljs-class .hljs-title, .css .hljs-rule .hljs-attribute {   color: #f0c674; }  /* Tomorrow Green */ .hljs-string, .hljs-value, .hljs-inheritance, .hljs-header, .hljs-name, .ruby .hljs-symbol, .xml .hljs-cdata {   color: #b5bd68; }  /* Tomorrow Aqua */ .hljs-title, .css .hljs-hexcolo"|"11/04/2018 16:15:58.7743086"|"0"|"file"|"B84BF355414AD414"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"10102"
"4D70915C8BDF4B310D453262FDEC9D3A"|"140015124E12"|"font-awesome.css"|"26711"|"32"|"25/03/2018 15:45:35.0000000"|"11/04/2018 16:12:49.6024192"|"11/04/2018 16:12:49.6024192"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/_FontAwesome/css/font-awesome.css"|"css"|"DESKTOP-EDSLQM8"|"text/css"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|"25/03/2018 15:45:35.0000000"|".css"|"DESKTOP-EDSLQM8\maxpowers"|"6"|"False"|"False"|"False"|"25/03/2018 15:45:35.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\css"|"css (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome)"|"font-awesome.css"|"font-awesome.css"|"font-awesome"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\css\font-awesome.css"|"font-awesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\css)"|".css"|"text/css"|"False"|"font-awesome.css"|"1077936503"|"0"|"/*!  *  Font Awesome 4.4.0 by @davegandy - http://fontawesome.io - @fontawesome  *  License - http://fontawesome.io/license (Font: SIL OFL 1.1, CSS: MIT License)  */@font-face{font-family:'FontAwesome';src:url('../fonts/fontawesome-webfont.eot?v=4.4.0');src:url('../fonts/fontawesome-webfont.eot?#iefix&v=4.4.0') format('embedded-opentype'),url('../fonts/fontawesome-webfont.woff2?v=4.4.0') format('woff2'),url('../fonts/fontawesome-webfont.woff?v=4.4.0') format('woff'),url('../fonts/fontawesome-webfont.ttf?v=4.4.0') format('truetype'),url('../fonts/fontawesome-webfont.svg?v=4.4.0#fontawesomeregular') format('svg');font-weight:normal;font-style:normal}.fa{display:inline-block;font:normal normal normal 14px/1 FontAwesome;font-size:inherit;text-rendering:auto;-webkit-font-smoothing:antialiased;-moz-osx-font-smoothing:grayscale}.fa-lg{font-size:1.33333333em;line-height:.75em;vertical-align:-15%}.fa-2x{font-size:2em}.fa-3x{font-size:3em}.fa-4x{font-size:4em}.fa-5x{font-size:5em}.fa-fw{width:1.28571429em;text-align:ce"|"11/04/2018 16:15:58.7743086"|"0,03125"|"file"|"D85C39A7635ED886"|"804cb650-0000-0000-0000-501f00000000"|"Cascading Style Sheet Document"|"10105"
