0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"D4DF69EB0DAA0C4B0E60E9DA726DA7F0","15124E12","imports.json","3524","32","09/04/2018 18:35:34.7298246","19/03/2018 16:14:36.8867827","19/03/2018 16:14:36.8867827","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/imports.json","40e22529c8729b65e1d700a7ae3f73d57ed1288f","19/03/2018 16:14:38.0000000","19/03/2018 16:14:38.0000000","09/04/2018 18:35:34.7298246",".json","6","False","False","False","19/03/2018 16:14:38.0000000","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f","40e22529c8729b65e1d700a7ae3f73d57ed1288f (C:\Users\maxpowers\.atom\compile-cache\less)","imports.json","imports.json","imports","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\imports.json","imports (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f)",".json","imports.json","1077936503","0","09/04/2018 18:35:44.2181009","0","file",,"C8AF776BE7A8EE9E","JSON File","2344"
"5F113D6EA35342BC0A4EFEBC9621D840","15124E12","application.json","45","32","09/04/2018 18:49:28.4433571","19/03/2018 16:14:36.9863716","19/03/2018 16:14:36.9863716","file:C:/Users/maxpowers/.atom/storage/application.json","storage","19/03/2018 16:14:38.0000000","19/03/2018 16:14:38.0000000","09/04/2018 18:49:28.4433571",".json","6","False","False","False","19/03/2018 16:14:38.0000000","C:\Users\maxpowers\.atom\storage","storage (C:\Users\maxpowers\.atom)","application.json","application.json","application","C:\Users\maxpowers\.atom\storage\application.json","application (C:\Users\maxpowers\.atom\storage)",".json","application.json","1077936503","0","09/04/2018 18:49:28.6729083","0,046875","file",,"948C2235C93E61AF","JSON File","2346"
"0EEEDACC638D726E40714A56D3AA82E5","15124E12","about.json","3332","32","19/03/2018 16:14:38.0430098","19/03/2018 16:14:38.0303521","19/03/2018 16:14:38.0303521","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/cd9ecc7e1c898e46327dd39224106849716b694a/about.json","cd9ecc7e1c898e46327dd39224106849716b694a","19/03/2018 16:14:38.0430098","19/03/2018 16:14:38.0430098","19/03/2018 16:14:38.0430098",".json","6","False","False","False","19/03/2018 16:14:38.0430098","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\cd9ecc7e1c898e46327dd39224106849716b694a","cd9ecc7e1c898e46327dd39224106849716b694a (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","about.json","about.json","about","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\cd9ecc7e1c898e46327dd39224106849716b694a\about.json","about (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\cd9ecc7e1c898e46327dd39224106849716b694a)",".json","about.json","1077936503","0","19/03/2018 16:14:53.7149005","0","file",,"B8CC67E6FEDB0B43","JSON File","2351"
"EED5F9FC788E1FF0A686D2CF27C754FC","15124E12","_global.json","2162","32","19/03/2018 16:14:38.1445498","19/03/2018 16:14:38.1338798","19/03/2018 16:14:38.1338798","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/_global.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.1445498","19/03/2018 16:14:38.1445498","19/03/2018 16:14:38.1445498",".json","6","False","False","False","19/03/2018 16:14:38.1445498","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","_global.json","_global.json","_global","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\_global.json","_global (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","_global.json","1077936503","0","19/03/2018 16:14:53.7090445","0,015625","file",,"DEBB4A75B999A221","JSON File","2353"
"78E0688FF8FF46718B1D71199A393D0C","15124E12","branch-menu-view.json","2730","32","19/03/2018 16:14:38.2275724","19/03/2018 16:14:38.2139022","19/03/2018 16:14:38.2139022","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/branch-menu-view.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.2275724","19/03/2018 16:14:38.2275724","19/03/2018 16:14:38.2275724",".json","6","False","False","False","19/03/2018 16:14:38.2275724","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","branch-menu-view.json","branch-menu-view.json","branch-menu-view","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\branch-menu-view.json","branch-menu-view (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","branch-menu-view.json","1077936503","0","19/03/2018 16:14:53.7041347","0","file",,"191D78097B461414","JSON File","2354"
"93D45B9525E741D9C74B141C627672B9","15124E12","changed-files-count-view.json","1276","32","19/03/2018 16:14:38.3096368","19/03/2018 16:14:38.3037684","19/03/2018 16:14:38.3037684","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/changed-files-count-view.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.3096368","19/03/2018 16:14:38.3096368","19/03/2018 16:14:38.3096368",".json","6","False","False","False","19/03/2018 16:14:38.3096368","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","changed-files-count-view.json","changed-files-count-view.json","changed-files-count-view","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\changed-files-count-view.json","changed-files-count-view (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","changed-files-count-view.json","1077936503","0","19/03/2018 16:14:53.6807286","0","file",,"F1E7074C0563549A","JSON File","2355"
"DBC62AC8D3E1684369379CC8C352A1A6","15124E12","commit-view.json","4406","32","19/03/2018 16:14:38.3887398","19/03/2018 16:14:38.3818931","19/03/2018 16:14:38.3818931","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/commit-view.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.3887398","19/03/2018 16:14:38.3887398","19/03/2018 16:14:38.3887398",".json","6","False","False","False","19/03/2018 16:14:38.3887398","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","commit-view.json","commit-view.json","commit-view","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\commit-view.json","commit-view (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","commit-view.json","1077936503","0","19/03/2018 16:14:53.6768189","0,015625","file",,"8A4B4394ED8E905D","JSON File","2356"
"C7431B5A0021242EB5724AEECE172B41","15124E12","conflicting-editor.json","6337","32","19/03/2018 16:14:38.4854239","19/03/2018 16:14:38.4775581","19/03/2018 16:14:38.4775581","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/conflicting-editor.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.4854239","19/03/2018 16:14:38.4854239","19/03/2018 16:14:38.4854239",".json","6","False","False","False","19/03/2018 16:14:38.4854239","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","conflicting-editor.json","conflicting-editor.json","conflicting-editor","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\conflicting-editor.json","conflicting-editor (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","conflicting-editor.json","1077936503","0","19/03/2018 16:14:53.6719482","0","file",,"0D2084453ED0FFB7","JSON File","2357"
"B1D0D1302AB766F67525174213F010E6","15124E12","dialog.json","1938","32","19/03/2018 16:14:38.5332677","19/03/2018 16:14:38.5264693","19/03/2018 16:14:38.5264693","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/dialog.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.5332677","19/03/2018 16:14:38.5332677","19/03/2018 16:14:38.5332677",".json","6","False","False","False","19/03/2018 16:14:38.5332677","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","dialog.json","dialog.json","dialog","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\dialog.json","dialog (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","dialog.json","1077936503","0","19/03/2018 16:14:53.6680340","0","file",,"5EDB07A9F0FEDA30","JSON File","2358"
"AD00B651FE61248D8CAC89276E7B799E","15124E12","file-patch-list-view.json","2011","32","19/03/2018 16:14:38.5918461","19/03/2018 16:14:38.5850128","19/03/2018 16:14:38.5850128","file:C:/Users/maxpowers/.atom/compile-cache/less/40e22529c8729b65e1d700a7ae3f73d57ed1288f/content/74a3946e628ab9f9c082ce4958f7c4816be256e1/file-patch-list-view.json","74a3946e628ab9f9c082ce4958f7c4816be256e1","19/03/2018 16:14:38.5918461","19/03/2018 16:14:38.5918461","19/03/2018 16:14:38.5918461",".json","6","False","False","False","19/03/2018 16:14:38.5918461","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1","74a3946e628ab9f9c082ce4958f7c4816be256e1 (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content)","file-patch-list-view.json","file-patch-list-view.json","file-patch-list-view","C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1\file-patch-list-view.json","file-patch-list-view (C:\Users\maxpowers\.atom\compile-cache\less\40e22529c8729b65e1d700a7ae3f73d57ed1288f\content\74a3946e628ab9f9c082ce4958f7c4816be256e1)",".json","file-patch-list-view.json","1077936503","0","19/03/2018 16:14:53.6631166","0,015625","file",,"83A2865D0FCB8FA9","JSON File","2359"
