0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"40C2BBA12CCFB8265449F4865CA1BFEB","15124E12","arena-c2cecdfd5a2d9f1c.dll.lib","4818","32","25/03/2018 15:16:54.0000000","11/04/2018 16:09:25.1492239","11/04/2018 16:09:25.1492239","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/arena-c2cecdfd5a2d9f1c.dll.lib","lib","25/03/2018 15:16:54.0000000","25/03/2018 15:16:54.0000000","25/03/2018 15:16:54.0000000",".lib","6","False","False","False","25/03/2018 15:16:54.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","arena-c2cecdfd5a2d9f1c.dll.lib","arena-c2cecdfd5a2d9f1c.dll.lib","arena-c2cecdfd5a2d9f1c.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\arena-c2cecdfd5a2d9f1c.dll.lib","arena-c2cecdfd5a2d9f1c.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","arena-c2cecdfd5a2d9f1c.dll.lib","1077936503","0","11/04/2018 16:16:23.0398711","0","file","3F601B9351465729","Object File Library","2758"
"E0167A785EF8F5D67DEAC73EB66AAA0F","15124E12","fmt_macros-4c5d8e9cb89b761b.dll.lib","5666","32","25/03/2018 15:17:33.0000000","11/04/2018 16:09:25.1492239","11/04/2018 16:09:25.1492239","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/fmt_macros-4c5d8e9cb89b761b.dll.lib","lib","25/03/2018 15:17:33.0000000","25/03/2018 15:17:33.0000000","25/03/2018 15:17:33.0000000",".lib","6","False","False","False","25/03/2018 15:17:33.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","fmt_macros-4c5d8e9cb89b761b.dll.lib","fmt_macros-4c5d8e9cb89b761b.dll.lib","fmt_macros-4c5d8e9cb89b761b.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\fmt_macros-4c5d8e9cb89b761b.dll.lib","fmt_macros-4c5d8e9cb89b761b.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","fmt_macros-4c5d8e9cb89b761b.dll.lib","1077936503","0","11/04/2018 16:16:22.9930780","0","file","940D9DDADE5BBE4C","Object File Library","2760"
"B1F7C28E3F40802A577279E97AB4783E","15124E12","graphviz-2c59e020945a59b9.dll.lib","10214","32","25/03/2018 15:17:28.0000000","11/04/2018 16:09:25.1650340","11/04/2018 16:09:25.1650340","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/graphviz-2c59e020945a59b9.dll.lib","lib","25/03/2018 15:17:28.0000000","25/03/2018 15:17:28.0000000","25/03/2018 15:17:28.0000000",".lib","6","False","False","False","25/03/2018 15:17:28.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","graphviz-2c59e020945a59b9.dll.lib","graphviz-2c59e020945a59b9.dll.lib","graphviz-2c59e020945a59b9.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\graphviz-2c59e020945a59b9.dll.lib","graphviz-2c59e020945a59b9.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","graphviz-2c59e020945a59b9.dll.lib","1077936503","0","11/04/2018 16:16:22.9462573","0","file","E2D4F380753FAF3A","Object File Library","2762"
"7E94E28F9ADD16135619F457533A2850","15124E12","proc_macro-0faeed6576da7f67.dll.lib","46716","32","25/03/2018 15:20:14.0000000","11/04/2018 16:09:25.5087391","11/04/2018 16:09:25.5087391","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/proc_macro-0faeed6576da7f67.dll.lib","lib","25/03/2018 15:20:14.0000000","25/03/2018 15:20:14.0000000","25/03/2018 15:20:14.0000000",".lib","6","False","False","False","25/03/2018 15:20:14.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","proc_macro-0faeed6576da7f67.dll.lib","proc_macro-0faeed6576da7f67.dll.lib","proc_macro-0faeed6576da7f67.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\proc_macro-0faeed6576da7f67.dll.lib","proc_macro-0faeed6576da7f67.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","proc_macro-0faeed6576da7f67.dll.lib","1077936503","0","11/04/2018 16:16:22.7275476","0,03125","file","ED12622DC9B113C1","Object File Library","2808"
"77D84C3A1CA1E534E127AA8F735FC7FF","15124E12","rustc-2e29a1328910ac53.dll.lib","2612022","32","25/03/2018 15:28:08.0000000","11/04/2018 16:09:25.5399358","11/04/2018 16:09:25.5399358","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc-2e29a1328910ac53.dll.lib","lib","25/03/2018 15:28:08.0000000","25/03/2018 15:28:08.0000000","25/03/2018 15:28:08.0000000",".lib","6","False","False","False","25/03/2018 15:28:08.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc-2e29a1328910ac53.dll.lib","rustc-2e29a1328910ac53.dll.lib","rustc-2e29a1328910ac53.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc-2e29a1328910ac53.dll.lib","rustc-2e29a1328910ac53.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc-2e29a1328910ac53.dll.lib","1077936503","0","11/04/2018 16:16:22.6648503","0","file","6C1A0C9C4622893D","Object File Library","2810"
"86B89579893A021A28128D0B1B584CD8","15124E12","rustc_allocator-f3896e215217966b.dll.lib","7290","32","25/03/2018 15:29:07.0000000","11/04/2018 16:09:25.5556132","11/04/2018 16:09:25.5556132","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc_allocator-f3896e215217966b.dll.lib","lib","25/03/2018 15:29:07.0000000","25/03/2018 15:29:07.0000000","25/03/2018 15:29:07.0000000",".lib","6","False","False","False","25/03/2018 15:29:07.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc_allocator-f3896e215217966b.dll.lib","rustc_allocator-f3896e215217966b.dll.lib","rustc_allocator-f3896e215217966b.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc_allocator-f3896e215217966b.dll.lib","rustc_allocator-f3896e215217966b.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc_allocator-f3896e215217966b.dll.lib","1077936503","0","11/04/2018 16:16:22.6203125","0","file","DE60C1180D7EA303","Object File Library","2812"
"4D83ADEC715748E8BA2D8E07D7FC69D6","15124E12","rustc_back-5476d51de620474e.dll.lib","16378","32","25/03/2018 15:20:18.0000000","11/04/2018 16:09:25.5556132","11/04/2018 16:09:25.5556132","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc_back-5476d51de620474e.dll.lib","lib","25/03/2018 15:20:18.0000000","25/03/2018 15:20:18.0000000","25/03/2018 15:20:18.0000000",".lib","6","False","False","False","25/03/2018 15:20:18.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc_back-5476d51de620474e.dll.lib","rustc_back-5476d51de620474e.dll.lib","rustc_back-5476d51de620474e.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc_back-5476d51de620474e.dll.lib","rustc_back-5476d51de620474e.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc_back-5476d51de620474e.dll.lib","1077936503","0","11/04/2018 16:16:22.5711428","0","file","676BA69FC2921111","Object File Library","2814"
"988C48012E205F528363A13ECEA6C4F0","15124E12","rustc_borrowck-d9df6656721dd7d6.dll.lib","61022","32","25/03/2018 15:34:16.0000000","11/04/2018 16:09:25.5711546","11/04/2018 16:09:25.5711546","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc_borrowck-d9df6656721dd7d6.dll.lib","lib","25/03/2018 15:34:16.0000000","25/03/2018 15:34:16.0000000","25/03/2018 15:34:16.0000000",".lib","6","False","False","False","25/03/2018 15:34:16.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc_borrowck-d9df6656721dd7d6.dll.lib","rustc_borrowck-d9df6656721dd7d6.dll.lib","rustc_borrowck-d9df6656721dd7d6.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc_borrowck-d9df6656721dd7d6.dll.lib","rustc_borrowck-d9df6656721dd7d6.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc_borrowck-d9df6656721dd7d6.dll.lib","1077936503","0","11/04/2018 16:16:22.5242900","0","file","60F2186852EC8F3E","Object File Library","2816"
"0A567B77C023212D272DB50843813520","15124E12","rustc_const_eval-89f634d4a00f7a59.dll.lib","32678","32","25/03/2018 15:30:48.0000000","11/04/2018 16:09:25.5711546","11/04/2018 16:09:25.5711546","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc_const_eval-89f634d4a00f7a59.dll.lib","lib","25/03/2018 15:30:48.0000000","25/03/2018 15:30:48.0000000","25/03/2018 15:30:48.0000000",".lib","6","False","False","False","25/03/2018 15:30:48.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc_const_eval-89f634d4a00f7a59.dll.lib","rustc_const_eval-89f634d4a00f7a59.dll.lib","rustc_const_eval-89f634d4a00f7a59.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc_const_eval-89f634d4a00f7a59.dll.lib","rustc_const_eval-89f634d4a00f7a59.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc_const_eval-89f634d4a00f7a59.dll.lib","1077936503","0","11/04/2018 16:16:22.4774256","0","file","B8C740E332BDBA54","Object File Library","2818"
"9FC8A616581E88C03FC4B6E2BB89B38E","15124E12","rustc_const_math-30bbc917995b0755.dll.lib","54558","32","25/03/2018 15:20:08.0000000","11/04/2018 16:09:25.5711546","11/04/2018 16:09:25.5711546","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/x86_64-pc-windows-msvc/lib/rustc_const_math-30bbc917995b0755.dll.lib","lib","25/03/2018 15:20:08.0000000","25/03/2018 15:20:08.0000000","25/03/2018 15:20:08.0000000",".lib","6","False","False","False","25/03/2018 15:20:08.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib","lib (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc)","rustc_const_math-30bbc917995b0755.dll.lib","rustc_const_math-30bbc917995b0755.dll.lib","rustc_const_math-30bbc917995b0755.dll","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\rustc_const_math-30bbc917995b0755.dll.lib","rustc_const_math-30bbc917995b0755.dll (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib)",".lib","rustc_const_math-30bbc917995b0755.dll.lib","1077936503","0","11/04/2018 16:16:22.4305227","0","file","0984B35BAD3F6F95","Object File Library","2820"
