0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4165-System_ComputerName,4334-System_ContentType,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4377-System_FileOwner,4378-System_FilePlaceholderStatus,4398-System_Image_BitDepth,4401-System_Image_Dimensions,4402-System_Image_HorizontalResolution,4403-System_Image_HorizontalSize,4404-System_Image_VerticalResolution,4405-System_Image_VerticalSize,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4453-System_MIMEType,4455-System_Media_ClassPrimaryID,4466-System_Media_DlnaProfileID,4540-System_NotUserContent,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,4679-System_VolumeId,5-System_ItemTypeText,WorkID
"E3843E6E04CA99C4EE9AE0C0904ED806","15124E12","favicon.png","5679","Archive (32)","25/03/2018 15:45:34.0000000","11/04/2018 16:12:48.3836383","11/04/2018 16:12:48.3836383","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/favicon.png","first-edition","DESKTOP-EDSLQM8","image/png","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪196 x 196‬","96","196","96","196","False","False","False","25/03/2018 15:45:34.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition","first-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)","favicon.png","favicon.png","favicon","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\favicon.png","favicon (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","favicon.png","1077936503","0","11/04/2018 16:16:04.4305406","0,015625","file","6818E193DBC38F2E","804cb650-0000-0000-0000-501f00000000","PNG image","9896"
"E3843E6E04CA99C4EE9AE0C0904ED806","15124E12","favicon.png","5679","Archive (32)","25/03/2018 15:45:35.0000000","11/04/2018 16:12:49.4461155","11/04/2018 16:12:49.4461155","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/favicon.png","second-edition","DESKTOP-EDSLQM8","image/png","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪196 x 196‬","96","196","96","196","False","False","False","25/03/2018 15:45:35.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition","second-edition (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book)","favicon.png","favicon.png","favicon","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\favicon.png","favicon (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","favicon.png","1077936503","0","11/04/2018 16:15:59.6024798","0,015625","file","14B8268701F51F80","804cb650-0000-0000-0000-501f00000000","PNG image","10081"
"0404E3F232BC368DC2867E8DB1507B8A","15124E12","trpl14-01.png","65437","Archive (32)","25/03/2018 14:29:59.0000000","11/04/2018 16:12:49.5242724","11/04/2018 16:12:49.5242724","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/img/trpl14-01.png","img","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪1578 x 911‬","96","1578","96","911","False","False","False","25/03/2018 14:29:59.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img","img (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)","trpl14-01.png","trpl14-01.png","trpl14-01","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img\trpl14-01.png","trpl14-01 (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","trpl14-01.png","1077936503","0","11/04/2018 16:15:59.5243053","0,015625","file","AD85DDA64568B870","804cb650-0000-0000-0000-501f00000000","PNG image","10091"
"D5D8F5F0D3E4BF9591AF987AEA5FF467","15124E12","trpl14-02.png","175642","Archive (32)","25/03/2018 14:29:59.0000000","11/04/2018 16:12:49.5242724","11/04/2018 16:12:49.5242724","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/img/trpl14-02.png","img","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪2473 x 1096‬","143,992599487305","2473","143,992599487305","1096","False","False","False","25/03/2018 14:29:59.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img","img (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)","trpl14-02.png","trpl14-02.png","trpl14-02","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img\trpl14-02.png","trpl14-02 (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","trpl14-02.png","1077936503","0","11/04/2018 16:15:59.5086296","0,015625","file","CD2B9DF136288E3C","804cb650-0000-0000-0000-501f00000000","PNG image","10092"
"2DFCBA41A8DE57511B6DBE4485F65ECF","15124E12","trpl14-03.png","43085","Archive (32)","25/03/2018 14:29:59.0000000","11/04/2018 16:12:49.5398746","11/04/2018 16:12:49.5398746","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/img/trpl14-03.png","img","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪1616 x 790‬","96","1616","96","790","False","False","False","25/03/2018 14:29:59.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img","img (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)","trpl14-03.png","trpl14-03.png","trpl14-03","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img\trpl14-03.png","trpl14-03 (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","trpl14-03.png","1077936503","0","11/04/2018 16:15:59.4930396","0","file","B35C7107B97141D9","804cb650-0000-0000-0000-501f00000000","PNG image","10093"
"54AB6F3B3B878BEA27F9BB09BFFADDE9","15124E12","trpl14-04.png","68900","Archive (32)","25/03/2018 14:29:59.0000000","11/04/2018 16:12:49.5398746","11/04/2018 16:12:49.5398746","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/img/trpl14-04.png","img","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪1584 x 1111‬","96","1584","96","1111","False","False","False","25/03/2018 14:29:59.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img","img (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)","trpl14-04.png","trpl14-04.png","trpl14-04","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img\trpl14-04.png","trpl14-04 (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","trpl14-04.png","1077936503","0","11/04/2018 16:15:59.4930396","0,015625","file","E8A8A830C77178CD","804cb650-0000-0000-0000-501f00000000","PNG image","10094"
"1273208A49FA0C60B93D75AEA805E668","15124E12","trpl20-01.png","8491","Archive (32)","25/03/2018 14:29:59.0000000","11/04/2018 16:12:49.5867730","11/04/2018 16:12:49.5867730","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/img/trpl20-01.png","img","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000","25/03/2018 14:29:59.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","24","‪372 x 320‬","143,992599487305","372","143,992599487305","320","False","False","False","25/03/2018 14:29:59.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img","img (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition)","trpl20-01.png","trpl20-01.png","trpl20-01","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img\trpl20-01.png","trpl20-01 (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\img)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","trpl20-01.png","1077936503","0","11/04/2018 16:15:59.4618547","0","file","CAB12A2DFBC66519","804cb650-0000-0000-0000-501f00000000","PNG image","10099"
"E3843E6E04CA99C4EE9AE0C0904ED806","15124E12","favicon.png","5679","Archive (32)","25/03/2018 15:49:50.0000000","11/04/2018 16:12:49.8211581","11/04/2018 16:12:49.8211581","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/cargo/favicon.png","cargo","DESKTOP-EDSLQM8","image/png","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪196 x 196‬","96","196","96","196","False","False","False","25/03/2018 15:49:50.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo","cargo (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html)","favicon.png","favicon.png","favicon","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\favicon.png","favicon (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","favicon.png","1077936503","0","11/04/2018 16:15:58.4304909","0","file","56DCFFDAA2AE564F","804cb650-0000-0000-0000-501f00000000","PNG image","10136"
"9C0533DCB18137DEC226D22BE427E802","15124E12","auth-level-acl.png","90300","Archive (32)","25/03/2018 14:29:55.0000000","11/04/2018 16:12:49.9305246","11/04/2018 16:12:49.9305246","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/cargo/images/auth-level-acl.png","images","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:55.0000000","25/03/2018 14:29:55.0000000","25/03/2018 14:29:55.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","24","‪1628 x 962‬","96","1628","96","962","False","False","False","25/03/2018 14:29:55.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images","images (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo)","auth-level-acl.png","auth-level-acl.png","auth-level-acl","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images\auth-level-acl.png","auth-level-acl (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","auth-level-acl.png","1077936503","0","11/04/2018 16:15:58.1961885","0,015625","file","53064428B2975BD3","804cb650-0000-0000-0000-501f00000000","PNG image","10155"
"B664784B0E263FF3D87FBDCA55D1F51B","15124E12","Cargo-Logo-Small.png","58168","Archive (32)","25/03/2018 14:29:55.0000000","11/04/2018 16:12:49.9461793","11/04/2018 16:12:49.9461793","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/cargo/images/Cargo-Logo-Small.png","images","DESKTOP-EDSLQM8","image/png","25/03/2018 14:29:55.0000000","25/03/2018 14:29:55.0000000","25/03/2018 14:29:55.0000000",".png","DESKTOP-EDSLQM8\maxpowers","6","32","‪306 x 275‬","96","306","96","275","False","False","False","25/03/2018 14:29:55.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images","images (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo)","Cargo-Logo-Small.png","Cargo-Logo-Small.png","Cargo-Logo-Small","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images\Cargo-Logo-Small.png","Cargo-Logo-Small (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\images)",".png","picture","Picture","image/png","{6FB2E74A-B8CB-40BB-93F3-FAC5F00FA203}","PNG_LRG","False","Cargo-Logo-Small.png","1077936503","0","11/04/2018 16:15:58.1805309","0,015625","file","D54D5DFCA3EA63B6","804cb650-0000-0000-0000-501f00000000","PNG image","10156"
