0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4146-System_ApplicationName,4153-System_Author,4182-System_ComputerName,4351-System_ContentType,4363-System_DateImported,4369-System_Document_DateCreated,4370-System_Document_DatePrinted,4371-System_Document_DateSaved,4374-System_Document_HiddenSlideCount,4375-System_Document_LastAuthor,4379-System_Document_ParagraphCount,4380-System_Document_PresentationFormat,4381-System_Document_RevisionNumber,4382-System_Document_SlideCount,4383-System_Document_TotalEditingTime,4385-System_Document_WordCount,4390-System_FileExtension,4394-System_FileOwner,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4435-System_ItemAuthors,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4444-System_ItemParticipants,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4454-System_Kind,4455-System_KindText,4470-System_MIMEType,4557-System_NotUserContent,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4623-System_Search_AutoSummary,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4672-System_SyncTransferStatusFlags,4676-System_ThumbnailCacheId,4680-System_Title,4700-System_VolumeId,5-System_ItemTypeText,WorkID
"D3EAECB747449BCC81CC54CA44DAA6B4","140026126312D412DC12","CSEN2001 Lecture 01.pptx","253571","Archive, Reparse_Point (1056)","21/02/2019 17:52:32.0000000","28/08/2019 07:02:40.2898973","09/09/2019 04:38:27.1961001","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 1/CSEN2001 Lecture 01.pptx","Week 1","Microsoft Office PowerPoint",,"DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","21/02/2019 17:52:32.0000000","12/02/2019 13:15:27.0000000","12/02/2019 19:22:58.0000000","21/02/2019 17:52:31.0000000","0","James Moriarty","389","Custom","5","28","00:00:19:00 (11400000000)","2348",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False",,"21/02/2019 17:52:31.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 1","Week 1 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 01.pptx","CSEN2001 Lecture 01.pptx","CSEN2001 Lecture 01",,"C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 1\CSEN2001 Lecture 01.pptx","CSEN2001 Lecture 01 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 1)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 01.pptx","1212154231","0","Lecture 1: The Definition of Computer Science  Informal and Formal Definitions of Algorithms Sequential Algorithms Prof. James Moriarty Baker Street State University, Department of Computer Science 09.30.2019 - 10.5.2019 Moriarty (Baker–CS) CSEN 2001 09.30.2019 - 10.5.2019 / 28 Introduction What is computer science What is Computer Science? Moriarty (Baker–CS) CSEN 2001 09.30.2019 - 10.5.2019 / 28 Introduction What is computer science What is Computer Science not? Or, more accurately, what is it not only  Computer Science is NOT restricted to The study of computers: Computers are tools used in the field The study of how to write computer programs: Programming is an  important part of computer science, but primarily as a a tool to  implement ideas. The study of the uses and applications of computers and  software: This only provides competency in tool usage So, what is Computer Science? Moriarty (Baker–CS) CSEN 2001 09.30.2019 - 10.5.2019 / 28 Introduction What is computer science What is Computer Science then","11/09/2019 03:04:46.1051105","0,140625","file",,"4C3F724BBCCD286A","CSEN 2001– Introduction to Computer Science","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2088"
"225E03FC414F9289361FD06350EBB3E0","140026126312DA12DC12E112","CSEN2001 Lecture 10.pptx","360126","Archive, Reparse_Point (1056)","01/05/2019 19:40:02.0000000","28/08/2019 07:02:40.3711871","09/09/2019 04:38:27.2338497","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 10/CSEN2001 Lecture 10.pptx","Week 10","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","01/05/2019 19:40:02.0000000","01/05/2019 14:40:00.0000000",,"01/05/2019 14:40:00.0000000",,,,"On-screen Show (4:3)",,,"00:00:00:00 (0)",,".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","01/05/2019 14:40:00.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 10","Week 10 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 10.pptx","CSEN2001 Lecture 10.pptx","CSEN2001 Lecture 10","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 10\CSEN2001 Lecture 10.pptx","CSEN2001 Lecture 10 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 10)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 10.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 10: Representing  Information Prof. James Moriarty Baker Street State University, Department of Computer Science 06.01.2020 - 11.01.2020 Moriarty (Baker–CS) CSEN 2001 06.01.2020 - 11.01.2020 / 26 Synopsis Summary about number representations Synopsis Test your understanding. . . What is the range of a n-bit unsigned binary integer? from 0 to 2n − 1 What is the range of an n-digit unsigned base-b integer?  from 0 to bn − 1 What is the range of a n-bit binary two’s complement integer?  from −2n−1 to 2n−1 − 1 What is the advantage of the two’s complement representation for  negative numenrals over others? Addition of negative numbers is exactly the same a with positive  numbers It uses the full capacity of an n-bit numeral How do I convert a positive binary into the corresponding two’s  complement negative? Flip every bit  Add 1 Moriarty (Baker–CS) CSEN 2001 06.01.2020 - 11.01.2020 / 26 Synopsis Summary about number representations Synopsis As promised: The ide","11/09/2019 03:04:45.9055929","0,234375","file",,"EE945BC7C6EFC8CE","CSEN 2001– Introduction to Computer Science - Lecture 10: Representing Information","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2090"
"E75C39A1539F1B55636DCEE10497E3F4","140026126312D412DA12DC12E112","CSEN2001 Lecture 11.pptx","224276","Archive, Reparse_Point (1056)","01/05/2019 21:35:40.0000000","28/08/2019 07:02:40.7526261","09/09/2019 04:38:27.9311096","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 11/CSEN2001 Lecture 11.pptx","Week 11","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","01/05/2019 21:35:40.0000000","01/05/2019 15:48:20.0000000",,"01/05/2019 21:35:38.0000000","0","James Moriarty","331","Custom","1","16","00:00:46:00 (27600000000)","1697",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","01/05/2019 21:35:38.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 11","Week 11 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 11.pptx","CSEN2001 Lecture 11.pptx","CSEN2001 Lecture 11","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 11\CSEN2001 Lecture 11.pptx","CSEN2001 Lecture 11 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 11)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 11.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 11: Representing  Information Prof. James Moriarty Baker Street State University, Department of Computer Science 01.13.2020-01.18.2020 Moriarty (Baker–CS) CSEN 2001 01.13.2020-01.18.2020 / 16 Synopsis Boolean algebra Synopsis Recall the Boolean operations and their Truth tables: AND (conjunction,  product) OR (disjunction,  sum) NOT (complement,  negation) x y x ∗           y 0 0 0 0 1 0 1 0 0 1 1 1 x y x + y 0 0 0 0 1 1 1 0 1 1 1 1 x ¬x 0 1 1 0 x x’ x  y x     xy x+y NOT y AND OR Moriarty (Baker–CS) CSEN 2001 01.13.2020-01.18.2020 / 16 Synopsis Boolean algebra Boolean algebra A Boolean Algebra must satisfy these axioms: x + 0 = x  x + 1 = 1 x + x = x  x + x I = 1  (x I)I = x x ∗ 1 = x  x ∗ 0 = 0  x ∗ x = x  x ∗             x I = 0 x + y = y + x xy = yx Commutativity x + (y + z) = (x + y ) + z x (yz) = (xy )z Associativity x (y + z) = xy + xz x + yz = (x + y )(x + z) Distributivity (x + y )I = x Iy I (xy )I = x I + y I DeMorgan’s Law x + 0 = x  x + 1 = 1 x +","11/09/2019 03:04:45.3319106","0,1875","file",,"36D08372BF363A5C","CSEN 2001– Introduction to Computer Science - Lecture 11: Representing Information","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2094"
"EFC79A0DEACB163401937795D0F67865","140026126312D412DC12","CSEN2001 Lecture 02.pptx","223029","Archive, Reparse_Point (1056)","13/03/2019 17:51:26.0000000","28/08/2019 07:02:41.0798660","09/09/2019 04:38:28.2690689","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 2/CSEN2001 Lecture 02.pptx","Week 2","Microsoft Office PowerPoint",,"DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","13/03/2019 17:51:26.0000000","21/02/2019 11:37:54.0000000",,"13/03/2019 17:51:25.0000000","0","James Moriarty","343","Custom","5","23","00:00:10:00 (6000000000)","1930",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False",,"13/03/2019 17:51:25.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 2","Week 2 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 02.pptx","CSEN2001 Lecture 02.pptx","CSEN2001 Lecture 02",,"C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 2\CSEN2001 Lecture 02.pptx","CSEN2001 Lecture 02 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 2)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 02.pptx","1212154231","0","Prof. James Moriarty Baker Street State University, Department of Computer Science 10.07.2019 - 10.12.2019 Moriarty (Baker–CS) CSEN 2001 10.07.2019 - 10.12.2019 / 23 Synopsis What is computer science?  What is an algorithm? An algorithm is a well-ordered collection of unambiguous and  effectively computable operations that, when executed, produces a  result and halts in a finite amount of time. What is a computing agent? Moriarty (Baker–CS) CSEN 2001 10.07.2019 - 10.12.2019 / 23 Sequential Algorithms Algorithms – notation Representing algorithms What language to use? Expressive Clear, precise and unambiguous For example, we could use: Natural Languages (e. g., English) Formal Programming Languages (e.g. Java, C++)  Something close? Moriarty (Baker–CS) CSEN 2001 10.07.2019 - 10.12.2019 / 23 Sequential Algorithms	Algorithms – notation Representing algorithms: Natural languages Example Given is a natural number n. Compute the sum of numbers from 1 to n. Representation with Natural Language Initially, set the val","11/09/2019 03:04:44.8315537","0,125","file",,"5B4B9A72E1D7A0AA","CSEN 2001– Introduction to Computer Science Lecture 2:  Python","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2101"
"C8993759851AE44CC8EE60EEC9CFCC73","140026126312D412DA12DC12E112","CSEN2001 Lecture 03.pptx","309228","Archive, Reparse_Point (1056)","04/03/2019 21:20:22.0000000","28/08/2019 07:02:41.1942882","09/09/2019 04:38:28.3848483","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 3/CSEN2001 Lecture 03.pptx","Week 3","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","04/03/2019 21:20:22.0000000","04/03/2019 15:14:30.0000000",,"04/03/2019 21:20:20.0000000","0","James Moriarty","622","Custom","1","43","00:00:05:00 (3000000000)","2809",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","04/03/2019 21:20:20.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 3","Week 3 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 03.pptx","CSEN2001 Lecture 03.pptx","CSEN2001 Lecture 03","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 3\CSEN2001 Lecture 03.pptx","CSEN2001 Lecture 03 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 3)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 03.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 3:  Algorithmic Problem Solving Conditional Operations Prof. James Moriarty Baker Street State University, Department of Computer Science 10.14.2019 - 10.19.2019 Moriarty (Baker–CS) CSEN 2001 10.14.2019 - 10.19.2019 / 20 Synopsis Sequential operations Synopsis Moriarty (Baker–CS) CSEN 2001 10.14.2019 - 10.19.2019 2 / 20 Synopsis Sequential operations Synopsis What is computer science? Moriarty (Baker–CS) CSEN 2001 10.14.2019 - 10.19.2019 2 / 20 Synopsis Sequential operations Synopsis What is computer science?  What is an algorithm? Moriarty (Baker–CS) CSEN 2001 10.14.2019 - 10.19.2019 2 / 20 Synopsis Sequential operations Synopsis What is computer science?  What is an algorithm? Definition (Algorithm) An algorithm is a well-ordered collection of unambiguous and  effectively computable operations that, when executed, produces a  result and halts in a finite amount of time. Moriarty (Baker–CS) CSEN 2001 10.14.2019 - 10.19.2019 2 / 20 Synopsis Sequential operat","11/09/2019 03:04:44.6554730","0,1875","file",,"38595864B6DBE9B3","CSEN 2001– Introduction to Computer Science - Lecture 3: Algorithmic Problem Solving  Conditional Operations","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2104"
"B1A004F0B51BD0F90E8CB7FA8465030A","140026126312D412DA12DC12E112","CSEN2001 Lecture 04.pptx","207922","Archive, Reparse_Point (1056)","13/03/2019 17:41:46.0000000","28/08/2019 07:02:41.2925919","09/09/2019 04:38:28.5852797","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 4/CSEN2001 Lecture 04.pptx","Week 4","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","13/03/2019 17:41:46.0000000","13/03/2019 12:34:45.0000000",,"13/03/2019 17:41:44.0000000","0","James Moriarty","376","Custom","2","22","00:00:03:00 (1800000000)","1553",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","13/03/2019 17:41:44.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 4","Week 4 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 04.pptx","CSEN2001 Lecture 04.pptx","CSEN2001 Lecture 04","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 4\CSEN2001 Lecture 04.pptx","CSEN2001 Lecture 04 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 4)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 04.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 4:  Algorithmic Problem Solving Iterative Operations Prof. James Moriarty Baker Street State University, Department of Computer Science 10.21.2019 - 10.26.2019 Moriarty (Baker–CS) CSEN 2001 10.21.2019 - 10.26.2019 / 22 Synopsis	Conditional operations Synopsis – conditional operations Rationale Determines whether or not a condition is true; and based on  whether or not it is true; selects the next step to do Notation Use the same primitives as before plus the following: 1      if condition: # <operations for the then-part> 2 3     else 4 # <operations for the else-part> Execution Evaluate condition expression to see whether it is true or false.  If true, then execute operations in if-part Otherwise, execute operations in else-part Moriarty (Baker–CS) CSEN 2001 10.21.2019 - 10.26.2019 / 22 Synopsis Conditional operations Algorithms: operations Algorithms can be constructed by the following operations: Sequential Operation  Conditional Operation  Iterative Oper","11/09/2019 03:04:44.2912598","0,125","file",,"BB949FA5911303A8","CSEN 2001– Introduction to Computer Science - Lecture 4: Algorithmic Problem Solving  Iterative Operations","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2108"
"55BAC25DF32F71BCA677BAF49914AF72","140026126312D412DA12DC12E112","CSEN2001 Lecture 05.pptx","292595","Archive, Reparse_Point (1056)","11/04/2019 16:18:04.0000000","28/08/2019 07:02:41.4989924","09/09/2019 04:38:28.9861220","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 5/CSEN2001 Lecture 05.pptx","Week 5","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","11/04/2019 16:18:04.0000000","23/03/2019 18:13:50.0000000",,"11/04/2019 16:18:03.0000000","0","James Moriarty","982","Custom","3","68","00:00:00:00 (0)","4143",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","11/04/2019 16:18:03.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 5","Week 5 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 05.pptx","CSEN2001 Lecture 05.pptx","CSEN2001 Lecture 05","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 5\CSEN2001 Lecture 05.pptx","CSEN2001 Lecture 05 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 5)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 05.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 5:  Algorithmic Problem Solving  Iterative Operations Over Lists Prof. James Moriarty Baker Street State University, Department of Computer Science 10.28.2019 - 11.02.2019 Moriarty (Baker–CS) CSEN 2001 10.28.2019 - 11.02.2019 / 23 Synopsis	Sequential, conditional, iterative What you should have learned so far. . . Algorithms can be constructed by the following operations: Sequential Operation  Conditional Operation  Iterative Operation Moriarty (Baker–CS) CSEN 2001 10.28.2019 - 11.02.2019 2 / 23 Synopsis	Sequential, conditional, iterative What you should have learned so far. . . Algorithms can be constructed by the following operations: Sequential Operation  Conditional Operation  Iterative Operation Moriarty (Baker–CS) CSEN 2001 10.28.2019 - 11.02.2019 2 / 23 Synopsis	Sequential, conditional, iterative What you should have learned so far. . . Algorithms can be constructed by the following operations: Sequential Operation  Conditional Operation  Iterative Op","11/09/2019 03:04:43.9806051","0,359375","file",,"538134A9889452FB","CSEN 2001– Introduction to Computer Science - Lecture 5: Algorithmic Problem Solving  Iterative Operations Over Lists","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2112"
"36159D8155EC85CE8CD0A69C09F4F9B9","140026126312D412DA12DC12E112","CSEN2001 Lecture 06.pptx","383706","Archive, Reparse_Point (1056)","03/04/2019 14:42:54.0000000","28/08/2019 07:02:41.7226389","09/09/2019 04:38:29.2867722","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 6/CSEN2001 Lecture 06.pptx","Week 6","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","03/04/2019 14:42:54.0000000","03/04/2019 09:24:11.0000000",,"03/04/2019 14:42:52.0000000","0","James Moriarty","1564","Custom","5","83","00:00:17:00 (10200000000)","8208",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","03/04/2019 14:42:52.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 6","Week 6 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 06.pptx","CSEN2001 Lecture 06.pptx","CSEN2001 Lecture 06","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 6\CSEN2001 Lecture 06.pptx","CSEN2001 Lecture 06 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 6)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 06.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 6: Algorithm Discovery: Attributes of Algorithms, Measuring Efficiency Prof. James Moriarty Baker Street State University, Department of Computer Science 11.25.2019 - 11.30.2019 Moriarty (Baker–CS) CSEN 2001 11.25.2019 - 11.30.2019 / 16 Algorithm discovery Attributes of algorithms Attributes of algorithms Which characteristics mark a good algorithm? Moriarty (Baker–CS) CSEN 2001 11.25.2019 - 11.30.2019 2 / 16 Algorithm discovery Attributes of algorithms Attributes of algorithms Which characteristics mark a good algorithm? Correctness Give a correct solution to the problem! Moriarty (Baker–CS) CSEN 2001 11.25.2019 - 11.30.2019 2 / 16 Algorithm discovery Attributes of algorithms Attributes of algorithms Which characteristics mark a good algorithm? Correctness Give a correct solution to the problem! Ease of understanding Clarity and ease of handling Moriarty (Baker–CS) CSEN 2001 11.25.2019 - 11.30.2019 2 / 16 Algorithm discovery Attributes of algorithms Attribu","11/09/2019 03:04:43.0375207","0,5625","file",,"414314B8563818B1","CSEN 2001– Introduction to Computer Science - Lecture 6: Algorithm Discovery: Attributes of Algorithms, Measuring Efficiency","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2116"
"53F29EA8C3DCC87A2B012B84A69B8F35","140026126312D412DA12DC12E112","CSEN2001 Lecture 07.pptx","432787","Archive, Reparse_Point (1056)","11/04/2019 16:17:00.0000000","28/08/2019 07:02:41.9193130","09/09/2019 04:38:29.4871817","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 7/CSEN2001 Lecture 07.pptx","Week 7","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","11/04/2019 16:17:00.0000000","11/04/2019 11:16:39.0000000",,"11/04/2019 16:16:58.0000000","0","James Moriarty","1213","Custom","1","86","00:00:00:00 (0)","5868",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","11/04/2019 16:16:58.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 7","Week 7 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 07.pptx","CSEN2001 Lecture 07.pptx","CSEN2001 Lecture 07","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 7\CSEN2001 Lecture 07.pptx","CSEN2001 Lecture 07 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 7)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 07.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 7:  Representing Information I Prof. James Moriarty Baker Street State University, Department of Computer Science 12.02.2019 - 12.07.2019 Moriarty (Baker–CS) CSEN 2001 12.02.2019 - 12.07.2019 / 15 Synopsis Synopsis Synopsis What you have learned so far:  The idea of algorithms The idea of the meta-solution, history, aspects, definition Notation and principal components of algorithms pseudo-code sequential, conditional, and iterative control-flow Aspects and efficiency of algorithms Analysis of time and space efficiency, depending on the input size  Order of magnitude: constant, linear, cubic, . . . (O(1), O(n), O(n2), . . . ) Moriarty (Baker–CS) CSEN 2001 12.02.2019 - 12.07.2019 2 / 15 Synopsis Synopsis Synopsis What you have learned so far:  The idea of algorithms The idea of the meta-solution, history, aspects, definition Notation and principal components of algorithms pseudo-code sequential, conditional, and iterative control-flow Aspects and efficiency o","11/09/2019 03:04:41.8995124","0,640625","file",,"EF72136E5C811C29","CSEN 2001– Introduction to Computer Science - Lecture 7: Representing Information I","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2120"
"5E85B733ECC2B66DE408E639FAC953FC","140026126312D412DA12DC12E112","CSEN2001 Lecture 08.pptx","416545","Archive, Reparse_Point (1056)","22/04/2019 21:59:06.0000000","28/08/2019 07:02:42.1069411","09/09/2019 04:38:29.6874200","file:C:/Users/Professor Moriarty/OneDrive/CSEN2001/Week 8/CSEN2001 Lecture 08.pptx","Week 8","Microsoft Office PowerPoint","Prof. James Moriarty","DESKTOP-HL2LCVA","application/vnd.openxmlformats-officedocument.presentationml.presentation","22/04/2019 21:59:06.0000000","22/04/2019 16:52:52.0000000",,"22/04/2019 21:59:04.0000000","0","James Moriarty","1085","Custom","1","87","00:00:00:00 (0)","6397",".pptx","DESKTOP-HL2LCVA\Professor Moriarty","14","False","False","False","Prof. James Moriarty","22/04/2019 21:59:04.0000000","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 8","Week 8 (C:\Users\Professor Moriarty\OneDrive\CSEN2001)","CSEN2001 Lecture 08.pptx","CSEN2001 Lecture 08.pptx","CSEN2001 Lecture 08","Prof. James Moriarty","C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 8\CSEN2001 Lecture 08.pptx","CSEN2001 Lecture 08 (C:\Users\Professor Moriarty\OneDrive\CSEN2001\Week 8)",".pptx","document","Document","application/vnd.openxmlformats-officedocument.presentationml.presentation","False","CSEN2001 Lecture 08.pptx","1212154231","0","CSEN 2001– Introduction to Computer Science Lecture 8:  Representing Information II Prof. James Moriarty Baker Street State University, Department of Computer Science 12.09.2019 - 12.14.2019 Moriarty (Baker–CS) CSEN 2001 12.09.2019 - 12.14.2019 / 17 Binary numbers	Summary What you should have learned so far... We are used to a base 10 positional system Moriarty (Baker–CS) CSEN 2001 12.09.2019 - 12.14.2019 2 / 17 Binary numbers	Summary What you should have learned so far... We are used to a base 10 positional system  Other bases (20, 60) were used through history Moriarty (Baker–CS) CSEN 2001 12.09.2019 - 12.14.2019 2 / 17 Binary numbers	Summary What you should have learned so far... We are used to a base 10 positional system  Other bases (20, 60) were used through history Generally, a base n system encodes numbers as follows: (xi xi−1 . . . x1x0)n = xi × ni + xi−1 × ni−1 + . . . + x1 × n1 + x0 × n0 Moriarty (Baker–CS) CSEN 2001 12.09.2019 - 12.14.2019 2 / 17 Binary numbers	Summary What you should have learned","11/09/2019 03:04:38.6296512","0,65625","file",,"D8DA7C138C171172","CSEN 2001– Introduction to Computer Science - Lecture 8: Representing Information II","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Microsoft PowerPoint Presentation","2124"
