0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.pyc","123","Archive (32)","12/03/2018 23:36:13.2281446","26/04/2018 18:35:30.8920233","26/04/2018 18:35:30.8920233","file:C:/Users/itsupport/Dropbox/ProjectE/etc/__init__.pyc","etc","12/03/2018 23:36:13.2281446","12/03/2018 23:36:13.2281446","12/03/2018 23:36:13.2281446",".pyc","6","False","False","False","12/03/2018 23:36:13.2281446","C:\Users\itsupport\Dropbox\ProjectE\etc","etc (C:\Users\itsupport\Dropbox\ProjectE)","__init__.pyc","__init__.pyc","__init__","C:\Users\itsupport\Dropbox\ProjectE\etc\__init__.pyc","__init__ (C:\Users\itsupport\Dropbox\ProjectE\etc)",".pyc","__init__.pyc","1077936503","0","26/04/2018 18:35:50.9544714","0","file","1","576AFB8F55DAE94A","Compiled Python File","3034"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.pyc","136","Archive (32)","12/03/2018 23:36:13.2281446","26/04/2018 18:35:30.9544169","26/04/2018 18:35:30.9544169","file:C:/Users/itsupport/Dropbox/ProjectE/etc/descriptions/__init__.pyc","descriptions","12/03/2018 23:36:13.2281446","12/03/2018 23:36:13.2281446","12/03/2018 23:36:13.2281446",".pyc","6","False","False","False","12/03/2018 23:36:13.2281446","C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions","descriptions (C:\Users\itsupport\Dropbox\ProjectE\etc)","__init__.pyc","__init__.pyc","__init__","C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions\__init__.pyc","__init__ (C:\Users\itsupport\Dropbox\ProjectE\etc\descriptions)",".pyc","__init__.pyc","1077936503","0","26/04/2018 18:35:50.9233731","0","file","1","B055C1A347C90E78","Compiled Python File","3039"
"2FF82893518805A1D2AE7BD856DED860","15124E12","Config.pyc","2157","Archive (32)","12/03/2018 23:36:12.3221188","26/04/2018 18:35:30.9857751","26/04/2018 18:35:30.9857751","file:C:/Users/itsupport/Dropbox/ProjectE/libem/Config.pyc","libem","12/03/2018 23:36:12.3221188","12/03/2018 23:36:12.3221188","12/03/2018 23:36:12.3221188",".pyc","6","False","False","False","12/03/2018 23:36:12.3221188","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","Config.pyc","Config.pyc","Config","C:\Users\itsupport\Dropbox\ProjectE\libem\Config.pyc","Config (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","Config.pyc","1077936503","0","26/04/2018 18:35:50.9075359","0,015625","file","1","BC241F51BD4283F9","Compiled Python File","3042"
"9EC83350933DC98BB137C4EB6921327B","15124E12","DbHandler.pyc","8090","Archive (32)","12/03/2018 23:36:12.7595169","26/04/2018 18:35:31.0012603","26/04/2018 18:35:31.0012603","file:C:/Users/itsupport/Dropbox/ProjectE/libem/DbHandler.pyc","libem","12/03/2018 23:36:12.7595169","12/03/2018 23:36:12.7595169","12/03/2018 23:36:12.7595169",".pyc","6","False","False","False","12/03/2018 23:36:12.7595169","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","DbHandler.pyc","DbHandler.pyc","DbHandler","C:\Users\itsupport\Dropbox\ProjectE\libem\DbHandler.pyc","DbHandler (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","DbHandler.pyc","1077936503","0","26/04/2018 18:35:50.9075359","0","file","1","5E100DF5DC1A37B5","Compiled Python File","3044"
"F7AB3309C03A1EA2F5CF32D867AB5DB1","15124E12","elastichandler.pyc","9913","Archive (32)","12/03/2018 23:36:12.8375609","26/04/2018 18:35:31.0325431","26/04/2018 18:35:31.0325431","file:C:/Users/itsupport/Dropbox/ProjectE/libem/elastichandler.pyc","libem","12/03/2018 23:36:12.8375609","12/03/2018 23:36:12.8375609","12/03/2018 23:36:12.8375609",".pyc","6","False","False","False","12/03/2018 23:36:12.8375609","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","elastichandler.pyc","elastichandler.pyc","elastichandler","C:\Users\itsupport\Dropbox\ProjectE\libem\elastichandler.pyc","elastichandler (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","elastichandler.pyc","1077936503","0","26/04/2018 18:35:50.9075359","0,015625","file","1","6EB56E10A66A110B","Compiled Python File","3046"
"C0A5A887734A25E219743FB38712F39D","15124E12","ProgressManager.pyc","3320","Archive (32)","12/03/2018 23:36:12.2439533","26/04/2018 18:35:31.0637426","26/04/2018 18:35:31.0637426","file:C:/Users/itsupport/Dropbox/ProjectE/libem/ProgressManager.pyc","libem","12/03/2018 23:36:12.2439533","12/03/2018 23:36:12.2439533","12/03/2018 23:36:12.2439533",".pyc","6","False","False","False","12/03/2018 23:36:12.2439533","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","ProgressManager.pyc","ProgressManager.pyc","ProgressManager","C:\Users\itsupport\Dropbox\ProjectE\libem\ProgressManager.pyc","ProgressManager (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","ProgressManager.pyc","1077936503","0","26/04/2018 18:35:50.8918791","0","file","1","CE8CF8B1B8A26A23","Compiled Python File","3048"
"04287CB9275D1A4E8FB8C714CAA69D83","15124E12","Utilities.pyc","974","Archive (32)","12/03/2018 23:36:12.3375202","26/04/2018 18:35:31.0950250","26/04/2018 18:35:31.0950250","file:C:/Users/itsupport/Dropbox/ProjectE/libem/Utilities.pyc","libem","12/03/2018 23:36:12.3375202","12/03/2018 23:36:12.3375202","12/03/2018 23:36:12.3375202",".pyc","6","False","False","False","12/03/2018 23:36:12.3375202","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","Utilities.pyc","Utilities.pyc","Utilities","C:\Users\itsupport\Dropbox\ProjectE\libem\Utilities.pyc","Utilities (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","Utilities.pyc","1077936503","0","26/04/2018 18:35:50.8918791","0","file","1","975DC2348575FB9E","Compiled Python File","3050"
"A3666D2F2A524A2F1B4BD877B9CEA447","15124E12","WindowsEventManager.pyc","17564","Archive (32)","12/03/2018 23:35:51.0406763","26/04/2018 18:35:31.1262810","26/04/2018 18:35:31.1262810","file:C:/Users/itsupport/Dropbox/ProjectE/libem/WindowsEventManager.pyc","libem","12/03/2018 23:35:51.0406763","12/03/2018 23:35:51.0406763","12/03/2018 23:35:51.0406763",".pyc","6","False","False","False","12/03/2018 23:35:51.0406763","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","WindowsEventManager.pyc","WindowsEventManager.pyc","WindowsEventManager","C:\Users\itsupport\Dropbox\ProjectE\libem\WindowsEventManager.pyc","WindowsEventManager (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","WindowsEventManager.pyc","1077936503","0","26/04/2018 18:35:52.0210732","0","file","1","7CD6A118F43B48C0","Compiled Python File","3052"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.pyc","125","Archive (32)","12/03/2018 23:35:50.9937466","26/04/2018 18:35:31.1576414","26/04/2018 18:35:31.1576414","file:C:/Users/itsupport/Dropbox/ProjectE/libem/__init__.pyc","libem","12/03/2018 23:35:50.9937466","12/03/2018 23:35:50.9937466","12/03/2018 23:35:50.9937466",".pyc","6","False","False","False","12/03/2018 23:35:50.9937466","C:\Users\itsupport\Dropbox\ProjectE\libem","libem (C:\Users\itsupport\Dropbox\ProjectE)","__init__.pyc","__init__.pyc","__init__","C:\Users\itsupport\Dropbox\ProjectE\libem\__init__.pyc","__init__ (C:\Users\itsupport\Dropbox\ProjectE\libem)",".pyc","__init__.pyc","1077936503","0","26/04/2018 18:35:49.4544897","0,015625","file","1","0B1143ACC33A1013","Compiled Python File","3054"
"792C43FB89369CC968CC7B57AB233F62","15124E12","__init__.pyc","134","Archive (32)","12/03/2018 23:37:15.4625897","26/04/2018 18:35:31.4231405","26/04/2018 18:35:31.4231405","file:C:/Users/itsupport/Dropbox/ProjectE/xlsx_templates/__init__.pyc","xlsx_templates","12/03/2018 23:37:15.4625897","12/03/2018 23:37:15.4625897","12/03/2018 23:37:15.4625897",".pyc","6","False","False","False","12/03/2018 23:37:15.4625897","C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates","xlsx_templates (C:\Users\itsupport\Dropbox\ProjectE)","__init__.pyc","__init__.pyc","__init__","C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates\__init__.pyc","__init__ (C:\Users\itsupport\Dropbox\ProjectE\xlsx_templates)",".pyc","__init__.pyc","1077936503","0","26/04/2018 18:35:48.4856275","0","file","1","60C3C96E3349883B","Compiled Python File","3073"
