0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"123D69495D51092007B5C12E495471C1","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.6915216","13/03/2018 18:07:10.6915216","file:C:/Users/maxpowers/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","maxpowers","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.9273694",".regtrans-ms","6","False","False","False","13/03/2018 18:07:10.9273694","C:\Users\maxpowers","maxpowers (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001","C:\Users\maxpowers\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001 (C:\Users\maxpowers)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","1079546231","0","13/03/2018 18:17:33.2101813","0","file","E0BCC33F6346C023","REGTRANS-MS File","55"
"2B89A51160865AEA192BEFCA42D39FC2","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.7230354","13/03/2018 18:07:10.7230354","file:C:/Users/maxpowers/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","maxpowers","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.9273694","13/03/2018 18:07:10.9273694",".regtrans-ms","6","False","False","False","13/03/2018 18:07:10.9273694","C:\Users\maxpowers","maxpowers (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002","C:\Users\maxpowers\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002 (C:\Users\maxpowers)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","1079546231","0","13/03/2018 18:17:33.1942279","0","file","6F572A8D9D0B7B3F","REGTRANS-MS File","56"
"123D69495D51092007B5C12E495471C1","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.5822764","13/03/2018 18:07:11.5822764","file:C:/Users/defaultuser0/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","defaultuser0","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.8483516",".regtrans-ms","6","False","False","False","13/03/2018 18:07:11.8483516","C:\Users\defaultuser0","defaultuser0 (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001","C:\Users\defaultuser0\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001 (C:\Users\defaultuser0)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","1079546231","0","13/03/2018 18:17:33.0847905","0,015625","file","4511BB14745F4AE9","REGTRANS-MS File","983"
"2B89A51160865AEA192BEFCA42D39FC2","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.6449439","13/03/2018 18:07:11.6449439","file:C:/Users/defaultuser0/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","defaultuser0","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.8483516","13/03/2018 18:07:11.8483516",".regtrans-ms","6","False","False","False","13/03/2018 18:07:11.8483516","C:\Users\defaultuser0","defaultuser0 (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002","C:\Users\defaultuser0\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002 (C:\Users\defaultuser0)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","1079546231","0","13/03/2018 18:17:33.0692143","0","file","4CD8A61623393B77","REGTRANS-MS File","984"
"7CCFE5964D18B4A17119EEC79E973F97","15124E12","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","524288","Hidden, System, Archive (38)","14/12/2017 01:41:39.7326755","14/12/2017 01:35:12.3923484","14/12/2017 02:12:07.6541230","file:C:/Users/Default/NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","Default","14/12/2017 01:35:14.0000000","14/12/2017 01:35:14.0000000","14/12/2017 01:41:39.7326755",".regtrans-ms","6","False","False","False","14/12/2017 01:35:14.0000000","C:\Users\Default","Default (C:\Users)","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001","C:\Users\Default\NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001 (C:\Users\Default)",".regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000001.regtrans-ms","1079546231","0","13/03/2018 18:17:33.0235490","0","file","1C88A2617034268B","REGTRANS-MS File","1014"
"45AA8BC3003360832396B9D7C9AA28B0","15124E12","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","524288","Hidden, System, Archive (38)","14/12/2017 01:41:39.7326755","14/12/2017 01:35:12.3923484","14/12/2017 01:41:39.7326755","file:C:/Users/Default/NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","Default","14/12/2017 01:35:14.0000000","14/12/2017 01:35:14.0000000","14/12/2017 01:41:39.7326755",".regtrans-ms","6","False","False","False","14/12/2017 01:35:14.0000000","C:\Users\Default","Default (C:\Users)","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002","C:\Users\Default\NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002 (C:\Users\Default)",".regtrans-ms","NTUSER.DAT{47a6a17a-a514-11e7-a94e-ec0d9a05c860}.TMContainer00000000000000000002.regtrans-ms","1079546231","0","13/03/2018 18:17:33.0235490","0","file","BB0C1D3A8FF96EDD","REGTRANS-MS File","1015"
"123D69495D51092007B5C12E495471C1","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:06:39.0509025","13/03/2018 18:06:38.1292795","13/03/2018 18:06:38.1292795","file:C:/Users/Default/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","Default","13/03/2018 18:06:39.0509025","13/03/2018 18:06:39.0509025","13/03/2018 18:06:39.0509025",".regtrans-ms","6","False","False","False","13/03/2018 18:06:39.0509025","C:\Users\Default","Default (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001","C:\Users\Default\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001 (C:\Users\Default)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","1079546231","0","13/03/2018 18:17:33.0068507","0","file","E73C50DDA91CF9EE","REGTRANS-MS File","1017"
"2B89A51160865AEA192BEFCA42D39FC2","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:06:39.0509025","13/03/2018 18:06:38.1447175","13/03/2018 18:06:38.1447175","file:C:/Users/Default/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","Default","13/03/2018 18:06:39.0509025","13/03/2018 18:06:39.0509025","13/03/2018 18:06:39.0509025",".regtrans-ms","6","False","False","False","13/03/2018 18:06:39.0509025","C:\Users\Default","Default (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002","C:\Users\Default\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002 (C:\Users\Default)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","1079546231","0","13/03/2018 18:17:32.9910353","0","file","D529704A659641BC","REGTRANS-MS File","1018"
"123D69495D51092007B5C12E495471C1","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:10.1133917","13/03/2018 18:07:09.8322523","13/03/2018 18:07:09.8322523","file:C:/Users/Administrator/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","Administrator","13/03/2018 18:07:10.0000000","13/03/2018 18:07:10.0000000","13/03/2018 18:07:10.1133917",".regtrans-ms","6","False","False","False","13/03/2018 18:07:10.0000000","C:\Users\Administrator","Administrator (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001","C:\Users\Administrator\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001 (C:\Users\Administrator)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000001.regtrans-ms","1079546231","0","13/03/2018 18:17:32.9285760","0","file","E7BE3B0466C533B5","REGTRANS-MS File","1117"
"2B89A51160865AEA192BEFCA42D39FC2","15124E12","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","524288","Hidden, System, Archive (38)","13/03/2018 18:07:10.1133917","13/03/2018 18:07:09.8478420","13/03/2018 18:07:09.8478420","file:C:/Users/Administrator/NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","Administrator","13/03/2018 18:07:10.0000000","13/03/2018 18:07:10.0000000","13/03/2018 18:07:10.1133917",".regtrans-ms","6","False","False","False","13/03/2018 18:07:10.0000000","C:\Users\Administrator","Administrator (C:\Users)","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002","C:\Users\Administrator\NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002 (C:\Users\Administrator)",".regtrans-ms","NTUSER.DAT{88a39ec5-26f1-11e8-a582-d47408cc89e4}.TMContainer00000000000000000002.regtrans-ms","1079546231","0","13/03/2018 18:17:32.9140535","0","file","8E95FF1139DECC07","REGTRANS-MS File","1118"
