0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"FA82F87FD5774359C0B440C91064713B","15124E12","applypatch-msg.sample","478","Archive (32)","12/03/2018 23:21:49.3219051","26/04/2018 18:35:29.5325513","26/04/2018 18:35:29.5325513","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/applypatch-msg.sample","hooks","12/03/2018 23:21:49.3219051","12/03/2018 23:21:49.3219051","12/03/2018 23:21:49.3219051",".sample","6","False","False","False","12/03/2018 23:21:49.3219051","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","applypatch-msg.sample","applypatch-msg.sample","applypatch-msg","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\applypatch-msg.sample","applypatch-msg (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","applypatch-msg.sample","1077936503","0","26/04/2018 18:35:51.9387761","0","file","1","D51969E9C5A35825","SAMPLE File","2940"
"25B88B685959CF766022CE7357A7054E","15124E12","commit-msg.sample","896","Archive (32)","12/03/2018 23:21:49.3377060","26/04/2018 18:35:29.5481156","26/04/2018 18:35:29.5481156","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/commit-msg.sample","hooks","12/03/2018 23:21:49.3377060","12/03/2018 23:21:49.3377060","12/03/2018 23:21:49.3377060",".sample","6","False","False","False","12/03/2018 23:21:49.3377060","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","commit-msg.sample","commit-msg.sample","commit-msg","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\commit-msg.sample","commit-msg (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","commit-msg.sample","1077936503","0","26/04/2018 18:35:51.9387761","0","file","1","35F45259C39A384F","SAMPLE File","2941"
"514385A80DCB4E4045DD5C56981B3A73","15124E12","fsmonitor-watchman.sample","3327","Archive (32)","12/03/2018 23:21:49.3377060","26/04/2018 18:35:29.5481156","26/04/2018 18:35:29.5481156","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/fsmonitor-watchman.sample","hooks","12/03/2018 23:21:49.3377060","12/03/2018 23:21:49.3377060","12/03/2018 23:21:49.3377060",".sample","6","False","False","False","12/03/2018 23:21:49.3377060","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","fsmonitor-watchman.sample","fsmonitor-watchman.sample","fsmonitor-watchman","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\fsmonitor-watchman.sample","fsmonitor-watchman (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","fsmonitor-watchman.sample","1077936503","0","26/04/2018 18:35:51.9387761","0","file","1","2173B5A71A4FFC8B","SAMPLE File","2942"
"601A4F53A4BE4F56E3373F4B816B8528","15124E12","post-update.sample","189","Archive (32)","12/03/2018 23:21:49.3531499","26/04/2018 18:35:29.5794562","26/04/2018 18:35:29.5794562","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/post-update.sample","hooks","12/03/2018 23:21:49.3531499","12/03/2018 23:21:49.3531499","12/03/2018 23:21:49.3531499",".sample","6","False","False","False","12/03/2018 23:21:49.3531499","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","post-update.sample","post-update.sample","post-update","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\post-update.sample","post-update (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","post-update.sample","1077936503","0","26/04/2018 18:35:51.9231345","0","file","1","F34C91E43DD2DC0B","SAMPLE File","2943"
"E1EF98F5B0DC97F63B212C6EDC8B19B4","15124E12","pre-applypatch.sample","424","Archive (32)","12/03/2018 23:21:49.3531499","26/04/2018 18:35:29.5950959","26/04/2018 18:35:29.5950959","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/pre-applypatch.sample","hooks","12/03/2018 23:21:49.3531499","12/03/2018 23:21:49.3531499","12/03/2018 23:21:49.3531499",".sample","6","False","False","False","12/03/2018 23:21:49.3531499","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","pre-applypatch.sample","pre-applypatch.sample","pre-applypatch","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\pre-applypatch.sample","pre-applypatch (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","pre-applypatch.sample","1077936503","0","26/04/2018 18:35:51.9231345","0,015625","file","1","AAD0E4700A7F35A0","SAMPLE File","2944"
"BDE848D3966C500A3D87DB4A64EAD499","15124E12","pre-commit.sample","1642","Archive (32)","12/03/2018 23:21:49.3688362","26/04/2018 18:35:29.6108398","26/04/2018 18:35:29.6108398","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/pre-commit.sample","hooks","12/03/2018 23:21:49.3688362","12/03/2018 23:21:49.3688362","12/03/2018 23:21:49.3688362",".sample","6","False","False","False","12/03/2018 23:21:49.3688362","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","pre-commit.sample","pre-commit.sample","pre-commit","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\pre-commit.sample","pre-commit (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","pre-commit.sample","1077936503","0","26/04/2018 18:35:51.9074825","0","file","1","BA9B7CA98FC6CA13","SAMPLE File","2945"
"2D8122118020567EBE9159231BC0146C","15124E12","pre-push.sample","1348","Archive (32)","12/03/2018 23:21:49.3688362","26/04/2018 18:35:29.6108398","26/04/2018 18:35:29.6108398","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/pre-push.sample","hooks","12/03/2018 23:21:49.3688362","12/03/2018 23:21:49.3688362","12/03/2018 23:21:49.3688362",".sample","6","False","False","False","12/03/2018 23:21:49.3688362","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","pre-push.sample","pre-push.sample","pre-push","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\pre-push.sample","pre-push (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","pre-push.sample","1077936503","0","26/04/2018 18:35:51.9074825","0","file","1","631183DFCF6D6B38","SAMPLE File","2946"
"16E4DC748A4D2F0287751BC1DA0BBCCC","15124E12","pre-rebase.sample","4898","Archive (32)","12/03/2018 23:21:49.3845186","26/04/2018 18:35:29.6263292","26/04/2018 18:35:29.6263292","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/pre-rebase.sample","hooks","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186",".sample","6","False","False","False","12/03/2018 23:21:49.3845186","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","pre-rebase.sample","pre-rebase.sample","pre-rebase","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\pre-rebase.sample","pre-rebase (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","pre-rebase.sample","1077936503","0","26/04/2018 18:35:51.9074825","0","file","1","8128FA7343F80F20","SAMPLE File","2947"
"F86ED1A494A209D46114FF85B969409B","15124E12","pre-receive.sample","544","Archive (32)","12/03/2018 23:21:49.3845186","26/04/2018 18:35:29.6418579","26/04/2018 18:35:29.6418579","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/pre-receive.sample","hooks","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186",".sample","6","False","False","False","12/03/2018 23:21:49.3845186","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","pre-receive.sample","pre-receive.sample","pre-receive","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\pre-receive.sample","pre-receive (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","pre-receive.sample","1077936503","0","26/04/2018 18:35:51.9074825","0,015625","file","1","D1A929FFD0253089","SAMPLE File","2948"
"E10BA6D66E96CFACB2FDC782FC77D316","15124E12","prepare-commit-msg.sample","1492","Archive (32)","12/03/2018 23:21:49.3845186","26/04/2018 18:35:29.6578075","26/04/2018 18:35:29.6578075","file:C:/Users/itsupport/Dropbox/ProjectE/.git/hooks/prepare-commit-msg.sample","hooks","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186","12/03/2018 23:21:49.3845186",".sample","6","False","False","False","12/03/2018 23:21:49.3845186","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks","hooks (C:\Users\itsupport\Dropbox\ProjectE\.git)","prepare-commit-msg.sample","prepare-commit-msg.sample","prepare-commit-msg","C:\Users\itsupport\Dropbox\ProjectE\.git\hooks\prepare-commit-msg.sample","prepare-commit-msg (C:\Users\itsupport\Dropbox\ProjectE\.git\hooks)",".sample","prepare-commit-msg.sample","1077936503","0","26/04/2018 18:35:51.8919040","0","file","1","F1FEC138C0C96E7A","SAMPLE File","2949"
