0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4454-System_Kind,4455-System_KindText,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4676-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"58568F4A6369E1BC518F887654F33648","26126312","01_1.1_Introduction_to_Logic_3_min.srt","3638","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:07.9157915","30/09/2019 04:45:07.9157915","30/09/2019 04:49:02.3166248","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/01_Lesson_1_-_Introduction/01_1.1_Introduction_to_Logic_3_min.srt","01_Lesson_1_-_Introduction","30/09/2019 04:45:07.9157915","30/09/2019 04:45:07.9157915","30/09/2019 04:45:07.9157915",".srt","6","False","False","False","30/09/2019 04:45:07.9157915","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction","01_Lesson_1_-_Introduction (C:\Users\Professor Moriarty\Downloads\intrologic-006)","01_1.1_Introduction_to_Logic_3_min.srt","01_1.1_Introduction_to_Logic_3_min.srt","01_1.1_Introduction_to_Logic_3_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction\01_1.1_Introduction_to_Logic_3_min.srt","01_1.1_Introduction_to_Logic_3_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction)",".srt","video","Video","01_1.1_Introduction_to_Logic_3_min.srt","1077936503","0","30/09/2019 04:55:14.0692781","0","file","A5826A0CDBFFB974","SRT File","4433"
"A926B8D702FA5CAB334922489579DB10","26126312","02_1.2_Elements_of_Logic_10_min.srt","12423","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:12.7258931","30/09/2019 04:45:12.7106710","30/09/2019 04:49:02.2729704","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/01_Lesson_1_-_Introduction/02_1.2_Elements_of_Logic_10_min.srt","01_Lesson_1_-_Introduction","30/09/2019 04:45:12.7258931","30/09/2019 04:45:12.7258931","30/09/2019 04:45:12.7258931",".srt","6","False","False","False","30/09/2019 04:45:12.7258931","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction","01_Lesson_1_-_Introduction (C:\Users\Professor Moriarty\Downloads\intrologic-006)","02_1.2_Elements_of_Logic_10_min.srt","02_1.2_Elements_of_Logic_10_min.srt","02_1.2_Elements_of_Logic_10_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction\02_1.2_Elements_of_Logic_10_min.srt","02_1.2_Elements_of_Logic_10_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction)",".srt","video","Video","02_1.2_Elements_of_Logic_10_min.srt","1077936503","0","30/09/2019 04:55:14.0692781","0","file","BC09FC315F98E78F","SRT File","4434"
"3E1708402C19CBE1BC9D84EC2FDD51F9","26126312","04_1.4_Automation_5_min.srt","5891","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:22.5961966","30/09/2019 04:45:22.5961966","30/09/2019 04:49:02.0982539","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/01_Lesson_1_-_Introduction/04_1.4_Automation_5_min.srt","01_Lesson_1_-_Introduction","30/09/2019 04:45:22.5961966","30/09/2019 04:45:22.5961966","30/09/2019 04:45:22.5961966",".srt","6","False","False","False","30/09/2019 04:45:22.5961966","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction","01_Lesson_1_-_Introduction (C:\Users\Professor Moriarty\Downloads\intrologic-006)","04_1.4_Automation_5_min.srt","04_1.4_Automation_5_min.srt","04_1.4_Automation_5_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction\04_1.4_Automation_5_min.srt","04_1.4_Automation_5_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction)",".srt","video","Video","04_1.4_Automation_5_min.srt","1077936503","0","30/09/2019 04:55:13.7214394","0","file","4BF2658C9658AA32","SRT File","4438"
"CC48D1968B65FF27FECF6307C11B7ECE","26126312","03_1.3_Formalization_9_min.srt","10439","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:20.8909930","30/09/2019 04:45:20.6063495","30/09/2019 04:49:02.1112842","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/01_Lesson_1_-_Introduction/03_1.3_Formalization_9_min.srt","01_Lesson_1_-_Introduction","30/09/2019 04:45:20.8909930","30/09/2019 04:45:20.8909930","30/09/2019 04:45:20.8909930",".srt","6","False","False","False","30/09/2019 04:45:20.8909930","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction","01_Lesson_1_-_Introduction (C:\Users\Professor Moriarty\Downloads\intrologic-006)","03_1.3_Formalization_9_min.srt","03_1.3_Formalization_9_min.srt","03_1.3_Formalization_9_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction\03_1.3_Formalization_9_min.srt","03_1.3_Formalization_9_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction)",".srt","video","Video","03_1.3_Formalization_9_min.srt","1077936503","0","30/09/2019 04:55:13.7149235","0,015625","file","033195DA21C595CE","SRT File","4440"
"D7B1C34747780C0CDD977C18FCA72096","26126312","05_1.5_Study_Guide_4_min.srt","5443","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:31.0037055","30/09/2019 04:45:31.0037055","30/09/2019 04:49:01.9636951","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/01_Lesson_1_-_Introduction/05_1.5_Study_Guide_4_min.srt","01_Lesson_1_-_Introduction","30/09/2019 04:45:31.0037055","30/09/2019 04:45:31.0037055","30/09/2019 04:45:31.0037055",".srt","6","False","False","False","30/09/2019 04:45:31.0037055","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction","01_Lesson_1_-_Introduction (C:\Users\Professor Moriarty\Downloads\intrologic-006)","05_1.5_Study_Guide_4_min.srt","05_1.5_Study_Guide_4_min.srt","05_1.5_Study_Guide_4_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction\05_1.5_Study_Guide_4_min.srt","05_1.5_Study_Guide_4_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\01_Lesson_1_-_Introduction)",".srt","video","Video","05_1.5_Study_Guide_4_min.srt","1077936503","0","30/09/2019 04:55:13.6125452","0,015625","file","B83595186F3C5AD4","SRT File","4448"
"430CC2878A563615ECFFCE204C10FFE0","26126312","01_2.1_Propositional_Logic_1_min.srt","1666","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:34.0509956","30/09/2019 04:45:34.0353664","30/09/2019 04:49:01.5630862","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/02_Lesson_2_-_Propositional_Logic/01_2.1_Propositional_Logic_1_min.srt","02_Lesson_2_-_Propositional_Logic","30/09/2019 04:45:34.0509956","30/09/2019 04:45:34.0509956","30/09/2019 04:45:34.0509956",".srt","6","False","False","False","30/09/2019 04:45:34.0509956","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic","02_Lesson_2_-_Propositional_Logic (C:\Users\Professor Moriarty\Downloads\intrologic-006)","01_2.1_Propositional_Logic_1_min.srt","01_2.1_Propositional_Logic_1_min.srt","01_2.1_Propositional_Logic_1_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic\01_2.1_Propositional_Logic_1_min.srt","01_2.1_Propositional_Logic_1_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic)",".srt","video","Video","01_2.1_Propositional_Logic_1_min.srt","1077936503","0","30/09/2019 04:55:11.7625404","0","file","D2FFF472916C34ED","SRT File","4450"
"B4EA7E312ECD2037A771ECF161F2C453","26126312","02_2.2_Syntax_7_min.srt","9247","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:45.3158657","30/09/2019 04:45:45.2624196","30/09/2019 04:49:01.5318488","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/02_Lesson_2_-_Propositional_Logic/02_2.2_Syntax_7_min.srt","02_Lesson_2_-_Propositional_Logic","30/09/2019 04:45:45.3158657","30/09/2019 04:45:45.3158657","30/09/2019 04:45:45.3158657",".srt","6","False","False","False","30/09/2019 04:45:45.3158657","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic","02_Lesson_2_-_Propositional_Logic (C:\Users\Professor Moriarty\Downloads\intrologic-006)","02_2.2_Syntax_7_min.srt","02_2.2_Syntax_7_min.srt","02_2.2_Syntax_7_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic\02_2.2_Syntax_7_min.srt","02_2.2_Syntax_7_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic)",".srt","video","Video","02_2.2_Syntax_7_min.srt","1077936503","0","30/09/2019 04:55:11.4773575","0","file","9D1EBC2497106CB1","SRT File","4452"
"DB208F0D2EF985E432A8E9BD3DC2A664","26126312","03_2.3_Semantics_10_min.srt","12933","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:52.2131172","30/09/2019 04:45:52.2131172","30/09/2019 04:49:01.4319295","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/02_Lesson_2_-_Propositional_Logic/03_2.3_Semantics_10_min.srt","02_Lesson_2_-_Propositional_Logic","30/09/2019 04:45:52.2131172","30/09/2019 04:45:52.2131172","30/09/2019 04:45:52.2131172",".srt","6","False","False","False","30/09/2019 04:45:52.2131172","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic","02_Lesson_2_-_Propositional_Logic (C:\Users\Professor Moriarty\Downloads\intrologic-006)","03_2.3_Semantics_10_min.srt","03_2.3_Semantics_10_min.srt","03_2.3_Semantics_10_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic\03_2.3_Semantics_10_min.srt","03_2.3_Semantics_10_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic)",".srt","video","Video","03_2.3_Semantics_10_min.srt","1077936503","0","30/09/2019 04:55:11.1927574","0","file","294E636FF1FAE9E4","SRT File","4454"
"B3D8F6E8D850943AA9521AA606419A2B","26126312","05_2.5_The_Big_Game_3_min.srt","3864","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:57.4316108","30/09/2019 04:45:57.4316108","30/09/2019 04:49:01.1617390","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/02_Lesson_2_-_Propositional_Logic/05_2.5_The_Big_Game_3_min.srt","02_Lesson_2_-_Propositional_Logic","30/09/2019 04:45:57.4316108","30/09/2019 04:45:57.4316108","30/09/2019 04:45:57.4316108",".srt","6","False","False","False","30/09/2019 04:45:57.4316108","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic","02_Lesson_2_-_Propositional_Logic (C:\Users\Professor Moriarty\Downloads\intrologic-006)","05_2.5_The_Big_Game_3_min.srt","05_2.5_The_Big_Game_3_min.srt","05_2.5_The_Big_Game_3_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic\05_2.5_The_Big_Game_3_min.srt","05_2.5_The_Big_Game_3_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic)",".srt","video","Video","05_2.5_The_Big_Game_3_min.srt","1077936503","0","30/09/2019 04:55:10.4904915","0,015625","file","60167C3D201FA98D","SRT File","4460"
"6E5BC7D591B096C8EFC2CB28E9818D05","26126312","04_2.4_Satisfaction_3_min.srt","4087","ReadOnly, Archive, Sparse_File (545)","30/09/2019 04:45:54.5810677","30/09/2019 04:45:53.3850724","30/09/2019 04:49:01.3780740","file:C:/Users/Professor Moriarty/Downloads/intrologic-006/02_Lesson_2_-_Propositional_Logic/04_2.4_Satisfaction_3_min.srt","02_Lesson_2_-_Propositional_Logic","30/09/2019 04:45:54.0000000","30/09/2019 04:45:54.0000000","30/09/2019 04:45:54.5810677",".srt","6","False","False","False","30/09/2019 04:45:54.0000000","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic","02_Lesson_2_-_Propositional_Logic (C:\Users\Professor Moriarty\Downloads\intrologic-006)","04_2.4_Satisfaction_3_min.srt","04_2.4_Satisfaction_3_min.srt","04_2.4_Satisfaction_3_min","C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic\04_2.4_Satisfaction_3_min.srt","04_2.4_Satisfaction_3_min (C:\Users\Professor Moriarty\Downloads\intrologic-006\02_Lesson_2_-_Propositional_Logic)",".srt","video","Video","04_2.4_Satisfaction_3_min.srt","1077936503","0","30/09/2019 04:55:10.4436626","0","file","C7A90DA8E9A37C53","SRT File","4462"
