0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4378-System_FilePlaceholderStatus,4384-System_FolderNameDisplay,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"12DBDDDF9A8E799D1D2E4F2A03A35407","15124E12","Administrator","Directory (16)","13/03/2018 18:12:02.3505059","13/03/2018 18:07:09.2228925","13/03/2018 18:12:02.3505059","file:C:/Users/Administrator","Users","13/03/2018 18:07:10.0000000","13/03/2018 18:07:10.0000000","13/03/2018 18:12:02.3505059","6","Administrator","False","False","True","13/03/2018 18:07:10.0000000","C:\Users","Users (C:)","Administrator","Administrator","Administrator","C:\Users\Administrator","Administrator (C:\Users)","Directory","folder","Folder","Administrator","1887437183","0","13/03/2018 18:16:52.5091638","0,015625","file",,"5BA102C13EEE82BF","File folder","1"
"1434983B2942883883D50ABE47ED5D19","15124E12","Start Menu","ReadOnly, Directory (17)","29/09/2017 13:46:38.1480996","29/09/2017 13:46:33.4914740","29/09/2017 13:46:38.1480996","file:C:/ProgramData/Microsoft/Windows/Start Menu","Windows","29/09/2017 13:46:34.0000000","29/09/2017 13:46:34.0000000","29/09/2017 13:46:38.1480996","6","Start Menu","False","False","True","29/09/2017 13:46:34.0000000","C:\ProgramData\Microsoft\Windows","Windows (C:\ProgramData\Microsoft)","Start Menu","Start Menu","Start Menu","C:\ProgramData\Microsoft\Windows\Start Menu","Start Menu (C:\ProgramData\Microsoft\Windows)","Directory","folder","Folder","Start Menu","1887437183","0","26/04/2018 18:22:53.0794231","0","file",,"F1C385BEAEAD52AA","File folder","2"
"CA977EAA2F4078F1B7687EC602DE293A","15124E12","Users","ReadOnly, Directory (17)","13/03/2018 18:07:11.0665003","29/09/2017 08:45:11.7738734","13/03/2018 18:07:11.0665003","file:C:/Users",,"29/09/2017 08:45:12.0000000","29/09/2017 08:45:12.0000000","13/03/2018 18:07:11.0665003","6","Users","False","False","True","29/09/2017 08:45:12.0000000","C:\","C:\","Users","Users","Users","C:\Users","Users (C:)","Directory","folder","Folder","Users","1887437167","0","13/03/2018 18:15:31.7568114","0,0625","file",,"D88457EA53814AC2","File folder","3"
"93C56346919004C928C68064169BC885","15124E12","20180316","Directory (16)","16/03/2018 20:31:18.8987349","16/03/2018 19:59:51.8207286","16/03/2018 20:31:18.8987349","file:C:/Users/maxpowers/Documents/20180316","Documents","16/03/2018 19:59:52.0000000","16/03/2018 19:59:52.0000000","16/03/2018 20:31:18.8987349","6","20180316","False","False","True","16/03/2018 19:59:52.0000000","C:\Users\maxpowers\Documents","Documents (C:\Users\maxpowers)","20180316","20180316","20180316","C:\Users\maxpowers\Documents\20180316","20180316 (C:\Users\maxpowers\Documents)","Directory","folder","Folder","20180316","1887437183","0","11/04/2018 15:12:18.9925048","0","file",,"C5A4D8027CB788FC","File folder","5"
"0DA85CD95F2A13DD1F721D1C7C385754","15124E12","20180417","Directory (16)","18/04/2018 00:00:37.1883037","18/04/2018 00:00:37.1883037","18/04/2018 00:00:37.1883037","file:C:/Users/maxpowers/Documents/20180417","Documents","18/04/2018 00:00:37.1883037","18/04/2018 00:00:37.1883037","18/04/2018 00:00:37.1883037","6","20180417","False","False","True","18/04/2018 00:00:38.0000000","C:\Users\maxpowers\Documents","Documents (C:\Users\maxpowers)","20180417","20180417","20180417","C:\Users\maxpowers\Documents\20180417","20180417 (C:\Users\maxpowers\Documents)","Directory","folder","Folder","20180417","1887437183","0","18/04/2018 00:00:42.6100218","0,09375","file",,"C8FDD71004B3D407","File folder","13"
"9BA1EE92AD4AA31B943E23B4E6D47FD0","15124E12","Default","ReadOnly, Hidden, Directory (19)","13/03/2018 18:15:19.9289476","29/09/2017 08:45:11.7738734","13/03/2018 18:15:19.9289476","file:C:/Users/Default","Users","29/09/2017 08:45:12.0000000","29/09/2017 08:45:12.0000000","13/03/2018 18:15:19.9289476","6","Default","False","False","True","29/09/2017 08:45:12.0000000","C:\Users","Users (C:)","Default","Default","Default","C:\Users\Default","Default (C:\Users)","Directory","folder","Folder","Default","1889042815","0","13/03/2018 18:16:51.9910384","0","file",,"13321D839B267C8F","File folder","14"
"7EC7979BAABF188EC6B76B68C45E6500","15124E12","AppData","Hidden, Directory (18)","29/09/2017 13:46:33.5227259","29/09/2017 13:46:33.5227259","29/09/2017 13:46:33.5227259","file:C:/Users/Default/AppData","Default","29/09/2017 13:46:33.5227259","29/09/2017 13:46:33.5227259","29/09/2017 13:46:33.5227259","6","AppData","False","False","True","29/09/2017 13:46:34.0000000","C:\Users\Default","Default (C:\Users)","AppData","AppData","AppData","C:\Users\Default\AppData","AppData (C:\Users\Default)","Directory","folder","Folder","AppData","1889042815","0","13/03/2018 18:16:52.0848436","0,015625","file",,"0F5AD2FCD4C1A581","File folder","15"
"02EF8DE1C9038BBB3376D6B9D3C9AA1F","15124E12","defaultuser0","Directory (16)","13/03/2018 18:12:41.9285397","13/03/2018 18:07:11.0665003","13/03/2018 18:12:41.9285397","file:C:/Users/defaultuser0","Users","13/03/2018 18:07:12.0000000","13/03/2018 18:07:12.0000000","13/03/2018 18:12:41.9285397","6","defaultuser0","False","False","True","13/03/2018 18:07:12.0000000","C:\Users","Users (C:)","defaultuser0","defaultuser0","defaultuser0","C:\Users\defaultuser0","defaultuser0 (C:\Users)","Directory","folder","Folder","defaultuser0","1887437183","0","13/03/2018 18:16:51.7566480","0,015625","file",,"52454D291CFC7096","File folder","16"
"6C2969A9D96C970BA9C7B8A69F126D6D","15124E12","maxpowers","Directory (16)","13/03/2018 18:12:23.9911189","13/03/2018 18:07:10.2073416","13/03/2018 18:12:23.9911189","file:C:/Users/maxpowers","Users","13/03/2018 18:07:12.0000000","13/03/2018 18:07:12.0000000","13/03/2018 18:12:23.9911189","6","maxpowers","False","False","True","13/03/2018 18:07:12.0000000","C:\Users","Users (C:)","maxpowers","maxpowers","maxpowers","C:\Users\maxpowers","maxpowers (C:\Users)","Directory","folder","Folder","maxpowers","1887437183","0","13/03/2018 18:15:32.5693932","0,015625","file",,"224E258E5378B220","File folder","18"
"5817533CDA9E0FD0B1A2650E341607C9","15124E12","Public","ReadOnly, Directory (17)","13/03/2018 15:32:44.8218829","29/09/2017 13:46:33.5383521","13/03/2018 15:32:44.8218829","file:C:/Users/Public","Users","29/09/2017 13:46:34.0000000","29/09/2017 13:46:34.0000000","13/03/2018 15:32:44.8218829","6","Public","False","False","True","29/09/2017 13:46:34.0000000","C:\Users","Users (C:)","Public","Public","Public","C:\Users\Public","Public (C:\Users)","Directory","folder","Folder","Public","1887437167","0","13/03/2018 18:15:31.8504133","0,015625","file",,"B64C8E984E200D1D","File folder","19"
